"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.759183794994508E9,"2025-09-29 19:09:54.995 UTC-03:00"
"PAUSE",1.884404886667035E2,1.759183983352309E9,"2025-09-29 19:13:03.352 UTC-03:00"
