"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.759183128563548E9,"2025-09-29 18:58:48.564 UTC-03:00"
"PAUSE",8.859635499998694E1,1.759183217161573E9,"2025-09-29 19:00:17.162 UTC-03:00"
