"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
7.720297500E-1,3.345273570E-1,-2.509352149E-1,9.801082996E0
7.819587500E-1,3.341267862E-1,-2.512111304E-1,9.801089428E0
7.918877500E-1,3.343810305E-1,-2.506141114E-1,9.801095860E0
8.018167500E-1,3.353209338E-1,-2.498743472E-1,9.801082996E0
8.117457500E-1,3.372271261E-1,-2.490281090E-1,9.801039142E0
8.216747500E-1,3.395481418E-1,-2.486809123E-1,9.800967806E0
8.316027500E-1,3.416775516E-1,-2.486306810E-1,9.800894716E0
8.415317500E-1,3.426009366E-1,-2.486371860E-1,9.800862556E0
8.514607500E-1,3.433265395E-1,-2.487161965E-1,9.800835074E0
8.613897500E-1,3.436453224E-1,-2.489528078E-1,9.800818117E0
8.713187500E-1,3.441849108E-1,-2.493743189E-1,9.800788296E0
8.812477500E-1,3.444311516E-1,-2.498395015E-1,9.800767831E0
8.911767500E-1,3.439497796E-1,-2.503624801E-1,9.800771340E0
9.011057500E-1,3.427176251E-1,-2.508903741E-1,9.800801160E0
9.110347500E-1,3.414134402E-1,-2.515531559E-1,9.800829227E0
9.209637500E-1,3.403765096E-1,-2.522798918E-1,9.800846769E0
9.308927500E-1,3.396228400E-1,-2.529593382E-1,9.800855539E0
9.408217500E-1,3.392796085E-1,-2.538366033E-1,9.800844430E0
9.507507500E-1,3.386342951E-1,-2.549533301E-1,9.800837998E0
9.606797500E-1,3.375343608E-1,-2.560883660E-1,9.800846184E0
9.706077500E-1,3.353079238E-1,-2.569896595E-1,9.800899394E0
9.805367500E-1,3.318747311E-1,-2.576737655E-1,9.800998212E0
9.904657500E-1,3.281400779E-1,-2.580177645E-1,9.801114571E0
1.000394750E0,3.263524014E-1,-2.579389733E-1,9.801176552E0
1.010323750E0,3.279970404E-1,-2.571643999E-1,9.801142053E0
1.020252750E0,3.321152344E-1,-2.561769879E-1,9.801029202E0
1.030181750E0,3.362556113E-1,-2.555013787E-1,9.800905825E0
1.040110750E0,3.426429635E-1,-2.549221572E-1,9.800699419E0
1.050039750E0,3.477110742E-1,-2.536002844E-1,9.800554993E0
1.059968750E0,3.545508912E-1,-2.526616236E-1,9.800334553E0
1.069897750E0,3.601500387E-1,-2.521793197E-1,9.800142764E0
1.079826750E0,3.634725729E-1,-2.514956157E-1,9.800037514E0
1.089755750E0,3.639293135E-1,-2.509058509E-1,9.800035760E0
1.099684750E0,3.621711288E-1,-2.506268108E-1,9.800108265E0
1.109612750E0,3.583556744E-1,-2.506076794E-1,9.800248598E0
1.119541750E0,3.519922593E-1,-2.515835615E-1,9.800454420E0
1.129470750E0,3.436635219E-1,-2.513951167E-1,9.800754967E0
1.139399750E0,3.336943115E-1,-2.512719962E-1,9.801102292E0
1.149328750E0,3.236549346E-1,-2.511245185E-1,9.801443185E0
1.159257750E0,3.143979882E-1,-2.510490711E-1,9.801746070E0
1.169186750E0,3.069147217E-1,-2.508890219E-1,9.801987560E0
1.179115750E0,3.018101389E-1,-2.507713832E-1,9.802148944E0
1.189044750E0,2.991580064E-1,-2.506104934E-1,9.802234313E0
1.198973750E0,2.985176814E-1,-2.505005658E-1,9.802256532E0
1.208902750E0,2.990817002E-1,-2.505774567E-1,9.802237821E0
1.218831750E0,3.004989191E-1,-2.505606459E-1,9.802194552E0
