"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.663547500E-1,3.480262756E-1,-2.797682190E-1,9.895621948E0
8.762837500E-1,3.326083374E-1,-2.516267395E-1,9.741891632E0
8.862127500E-1,3.504212952E-1,-2.595602417E-1,9.838291168E0
8.961417500E-1,3.342549133E-1,-2.650987244E-1,9.877210236E0
9.060697500E-1,2.766247559E-1,-2.637515259E-1,9.824819183E0
9.159987500E-1,2.442919922E-1,-2.576142883E-1,9.850865021E0
9.259277500E-1,2.149530029E-1,-2.719844055E-1,9.864337006E0
9.358567500E-1,1.686991882E-1,-2.582130432E-1,9.852960663E0
9.457857500E-1,1.785786438E-1,-2.665956116E-1,9.880952454E0
9.557147500E-1,2.344125366E-1,-2.841091919E-1,9.923164673E0
9.656437500E-1,2.731819153E-1,-2.905458069E-1,9.958640900E0
9.755727500E-1,2.591111755E-1,-3.071612549E-1,1.001118164E1
9.855017500E-1,2.375559998E-1,-3.144960022E-1,9.960437164E0
9.954307500E-1,2.080673218E-1,-2.957849121E-1,9.887538757E0
1.005359750E0,1.948947144E-1,-2.421963501E-1,9.718540192E0
1.015288750E0,2.188449097E-1,-1.936972046E-1,9.546697540E0
1.025217750E0,2.668949890E-1,-2.306703186E-1,9.648336182E0
1.035146750E0,3.216810608E-1,-2.670446777E-1,1.000953506E1
1.045074750E0,2.522254944E-1,-2.465373230E-1,1.010503647E1
1.055003750E0,2.571652222E-1,-2.436932373E-1,9.707463226E0
1.064932750E0,3.351530457E-1,-3.107537842E-1,9.482481079E0
1.074861750E0,5.080435181E-1,-2.745291138E-1,9.836794281E0
1.084790750E0,5.550457764E-1,-2.498304749E-1,9.859546967E0
1.094719750E0,5.435197449E-1,-2.823129272E-1,9.655072174E0
1.104648750E0,5.266049194E-1,-2.844085693E-1,9.619446259E0
1.114577750E0,5.233117676E-1,-2.668949890E-1,9.767787781E0
1.124506750E0,5.430706787E-1,-2.677931213E-1,9.729018402E0
1.134435750E0,4.876858521E-1,-2.791694641E-1,9.859696655E0
1.144364750E0,3.963757324E-1,-2.565664673E-1,9.826016693E0
1.154293750E0,2.749781799E-1,-2.722837830E-1,9.784702606E0
1.164222750E0,2.041754150E-1,-2.712359619E-1,9.894125061E0
1.174151750E0,1.525328064E-1,-2.691403198E-1,9.890083466E0
1.184079750E0,1.348695374E-1,-2.694396973E-1,9.884544983E0
1.194008750E0,1.445993042E-1,-2.698887634E-1,9.877359924E0
1.203937750E0,1.826202393E-1,-2.709365845E-1,9.838590546E0
1.213866750E0,2.314187622E-1,-2.667453003E-1,9.818083191E0
1.223795750E0,2.781216431E-1,-2.676434326E-1,9.844727783E0
1.233724750E0,3.183879089E-1,-2.646496582E-1,9.828112335E0
1.243653750E0,3.453318787E-1,-2.592608643E-1,9.793683929E0
1.253582750E0,3.629951477E-1,-2.606080627E-1,9.792336731E0
1.263511750E0,3.603007507E-1,-2.700384521E-1,9.802964630E0
1.273440750E0,3.423381042E-1,-2.659968567E-1,9.801916809E0
1.283369750E0,3.246748352E-1,-2.630030823E-1,9.812844086E0
1.293298750E0,2.974314880E-1,-2.600093079E-1,9.834099884E0
1.303227750E0,2.731819153E-1,-2.615061951E-1,9.840686188E0
1.313155750E0,2.565664673E-1,-2.715353394E-1,9.841734009E0
1.323084750E0,2.929408264E-1,-2.694396973E-1,9.903854828E0
1.333013750E0,2.814147949E-1,-2.752775574E-1,9.801318054E0
1.342942750E0,2.415975952E-1,-2.546205139E-1,9.774823151E0
1.352871750E0,1.914518738E-1,-2.664459229E-1,9.836195526E0
1.362800750E0,1.766326904E-1,-2.839595032E-1,9.956395569E0
1.372729750E0,2.237846375E-1,-2.582130432E-1,9.800569611E0
1.382658750E0,3.287164307E-1,-2.523751831E-1,9.811197510E0
1.392587750E0,3.966751099E-1,-2.580633545E-1,9.792037354E0
1.402516750E0,4.155358887E-1,-2.653981018E-1,9.777816925E0
1.412445750E0,3.796105957E-1,-2.540217590E-1,9.774374084E0
1.422374750E0,3.305126953E-1,-2.679428101E-1,9.816735992E0
1.432303750E0,2.655477905E-1,-2.664459229E-1,9.818083191E0
1.442232750E0,2.270777893E-1,-2.677931213E-1,9.862540741E0
1.452160750E0,1.842668152E-1,-2.694396973E-1,9.839937744E0
1.462089750E0,1.998344421E-1,-2.695893860E-1,9.863438873E0
1.472018750E0,2.338137817E-1,-2.721340942E-1,9.850116577E0
1.481947750E0,2.703378296E-1,-2.707868958E-1,9.813143463E0
1.491876750E0,2.770738220E-1,-2.742297363E-1,9.862690430E0
1.501805750E0,2.894979858E-1,-2.694396973E-1,9.833950195E0
1.511734750E0,3.258723450E-1,-2.634521484E-1,9.815239105E0
1.521663750E0,3.893403625E-1,-2.688409424E-1,9.817933502E0
1.531592750E0,4.261637878E-1,-2.668949890E-1,9.772727509E0
1.541521750E0,4.144880676E-1,-2.658471680E-1,9.799970856E0
1.551450750E0,3.820056152E-1,-2.662962341E-1,9.787247314E0
1.561379750E0,3.305126953E-1,-2.776725769E-1,9.829309845E0
1.571308750E0,2.737806702E-1,-2.658471680E-1,9.837243347E0
1.581236750E0,2.338137817E-1,-2.673440552E-1,9.875264282E0
1.591165750E0,2.627037048E-1,-2.613565063E-1,9.842632141E0
1.601094750E0,2.748284912E-1,-2.746788025E-1,9.828262024E0
1.611023250E0,3.207829285E-1,-2.662962341E-1,9.834548950E0
1.620952250E0,3.381468201E-1,-2.516267395E-1,9.796228638E0
1.630881250E0,3.727249146E-1,-2.662962341E-1,9.777816925E0
1.640810250E0,4.101470947E-1,-2.634521484E-1,9.860445099E0
1.650739250E0,3.748205566E-1,-2.630030823E-1,9.754166107E0
1.660668250E0,3.826043701E-1,-2.683918762E-1,9.784702606E0
1.670597250E0,3.517684937E-1,-2.703378296E-1,9.847422180E0
1.680526250E0,3.164419556E-1,-2.658471680E-1,9.801467743E0
1.690455250E0,3.150947571E-1,-2.585124207E-1,9.811197510E0
1.700384250E0,3.378474426E-1,-2.785707092E-1,9.864187317E0
1.710313250E0,3.412902832E-1,-2.565664673E-1,9.889035645E0
1.720241250E0,3.279679871E-1,-2.468367004E-1,9.733808441E0
1.730170250E0,3.884422302E-1,-2.674937439E-1,9.826765137E0
1.740099250E0,4.041595459E-1,-2.704875183E-1,9.829010468E0
1.750028250E0,3.767665100E-1,-2.631527710E-1,9.794132996E0
1.759957250E0,3.594026184E-1,-2.574645996E-1,9.860744476E0
1.769886250E0,3.059637451E-1,-2.709365845E-1,9.787846069E0
1.779815250E0,3.097059631E-1,-2.701881409E-1,9.815688171E0
1.789744250E0,3.614982605E-1,-2.670446777E-1,9.735155640E0
1.799673250E0,3.858975220E-1,-2.781216431E-1,9.972711639E0
1.809602250E0,3.103047180E-1,-2.550695801E-1,9.667646027E0
1.819531250E0,3.415896606E-1,-2.685415649E-1,9.858648834E0
1.829460250E0,3.579057312E-1,-2.712359619E-1,9.872719574E0
1.839389250E0,3.541635132E-1,-2.674937439E-1,9.695787506E0
1.849317250E0,4.082011414E-1,-2.745291138E-1,9.881700897E0
1.859246250E0,4.394860840E-1,-2.643502808E-1,9.774074707E0
1.869175250E0,4.360432434E-1,-2.725831604E-1,9.883946228E0
1.879104250E0,2.501298523E-1,-2.633024597E-1,9.834548950E0
1.889033250E0,7.933502197E-2,-2.652484131E-1,9.834848328E0
1.898962250E0,7.634124756E-3,-2.646496582E-1,9.879605255E0
1.908891250E0,-5.388793945E-3,-2.775228882E-1,9.871971130E0
1.918820250E0,1.293310547E-1,-2.559677124E-1,9.863139496E0
1.928749250E0,2.287243652E-1,-3.028202820E-1,1.007854156E1
1.938678250E0,3.629951477E-1,-2.279759216E-1,9.561516724E0
1.948607250E0,5.412744141E-1,-2.644999695E-1,9.874366150E0
1.958536250E0,6.527925110E-1,-2.631527710E-1,9.737101593E0
1.968465250E0,6.954537964E-1,-2.779719543E-1,9.716743927E0
1.978394250E0,6.887178040E-1,-2.462379456E-1,9.817634125E0
1.988322250E0,5.578898621E-1,-2.896476746E-1,9.617799683E0
1.998251250E0,3.707789612E-1,-3.329077148E-1,9.866732025E0
2.008180250E0,2.324665833E-1,-2.028282166E-1,9.766440582E0
2.018109250E0,1.267863464E-1,-2.953358459E-1,9.994266815E0
2.028038250E0,4.849914551E-2,-2.841091919E-1,9.890233154E0
2.037967250E0,1.059796143E-1,-2.561174011E-1,9.955946503E0
2.047896250E0,2.145039368E-1,-2.751278687E-1,9.820927277E0
