"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.514607500E-1,-4.887398332E-3,-5.627507344E-4,-2.398580872E-2
8.613897500E-1,-1.851927256E-3,-5.168953910E-3,-2.589849196E-2
8.713187500E-1,-6.518330891E-3,-3.950682469E-3,-2.910673246E-2
8.812477500E-1,-6.123383995E-3,4.185274243E-3,-2.987079322E-2
8.911767500E-1,-7.079430390E-3,8.358052932E-3,-2.790568955E-2
9.011057500E-1,-7.748150267E-3,1.712491363E-2,-2.160198800E-2
9.110347500E-1,-9.161962196E-3,1.038861275E-2,-2.354129031E-2
9.209637500E-1,-8.722540922E-3,9.228273295E-3,-2.243421413E-2
9.308927500E-1,-1.063837484E-2,5.929034669E-3,-1.773747802E-2
9.408217500E-1,-9.148603305E-3,5.160446279E-3,-1.613718644E-2
9.507507500E-1,-1.396741346E-2,8.983642794E-3,-1.376001537E-2
9.606797500E-1,-1.120411791E-2,1.598402858E-2,-1.361966692E-2
9.706077500E-1,-6.073093973E-3,3.025507182E-2,-6.841090508E-3
9.805367500E-1,-7.257934660E-3,4.055245221E-2,-5.426153541E-3
9.904657500E-1,-1.843536505E-3,3.413192183E-2,3.032807261E-3
1.000394750E0,4.523815122E-3,-3.100399626E-3,4.588093609E-3
1.010323750E0,1.079251058E-2,-3.044446930E-2,7.153023034E-4
1.020252750E0,7.351707201E-3,-4.095357284E-2,2.503614873E-3
1.030181750E0,9.480519220E-3,-4.853485152E-2,1.661235699E-3
1.040110750E0,1.611471921E-2,-4.664800316E-2,3.602413693E-3
1.050039750E0,1.082199626E-2,-7.567124814E-2,1.711020013E-3
1.059968750E0,6.605147850E-3,-6.322576851E-2,1.825269544E-3
1.069897750E0,7.196723018E-3,-4.982310161E-2,4.965853877E-4
1.079826750E0,7.363437209E-3,-1.955920644E-2,4.149110988E-3
1.089755750E0,4.258505069E-3,8.060743101E-3,4.920977168E-3
1.099684750E0,2.406010404E-3,2.807785943E-2,4.100723192E-3
1.109612750E0,-1.069550170E-3,5.007043481E-2,3.792546690E-3
1.119541750E0,1.107952371E-2,7.572572678E-2,7.283135783E-4
1.129470750E0,1.601246651E-3,9.702325612E-2,6.570523139E-3
1.139399750E0,2.071028110E-3,1.039669141E-1,3.758491250E-3
1.149328750E0,2.015383914E-3,1.030116603E-1,8.132228628E-3
1.159257750E0,2.640693914E-3,8.707929403E-2,3.342266660E-3
1.169186750E0,2.430881374E-3,6.481595337E-2,1.926779747E-3
1.179115750E0,1.126731280E-3,3.931592032E-2,1.012783032E-3
1.189044750E0,4.477281589E-3,1.577770710E-2,6.548103411E-4
1.198973750E0,-3.283922561E-4,-4.249640042E-4,2.484135563E-3
1.208902750E0,-8.100392297E-4,-1.021254994E-2,-3.696852364E-4
1.218831750E0,2.552734222E-3,-1.560625061E-2,1.744331792E-3
1.228760750E0,1.698006876E-3,-1.204646658E-2,-1.442429144E-3
1.238689750E0,1.032749191E-3,-3.845794359E-3,-1.774258912E-3
1.248617750E0,-1.185322180E-3,3.972093109E-3,7.517875638E-4
1.258546750E0,-9.023025632E-5,1.495683286E-2,6.607074756E-4
1.268475750E0,-1.279893098E-3,1.803184859E-2,5.701230839E-5
1.278404750E0,-5.967919715E-4,2.194190212E-2,2.700732090E-3
1.288333750E0,-1.221171580E-3,2.674962766E-2,6.620339118E-4
1.298262750E0,4.425053485E-4,2.096843719E-2,7.168950979E-4
1.308191750E0,-4.588556476E-4,1.486640144E-2,1.355009852E-3
1.318120750E0,5.264809821E-3,1.096753310E-2,9.195830207E-4
1.328049750E0,-8.586873300E-4,1.542440709E-2,4.201597068E-3
1.337978750E0,-1.685864991E-3,3.719552187E-4,2.896914491E-3
1.347907750E0,3.726862837E-3,-7.954620756E-3,-3.374721855E-4
1.357836750E0,-2.047669608E-3,-2.488007396E-2,3.062137403E-4
1.367765750E0,-1.834187424E-3,-3.481824324E-2,-1.208320260E-3
1.377694750E0,1.583447214E-3,-2.938139997E-2,-1.960527152E-4
1.387622750E0,-3.981040791E-4,-1.627817564E-2,-4.050191492E-4
1.397551750E0,-3.265795996E-3,1.738908468E-3,-2.175327390E-4
1.407480750E0,8.363868110E-4,1.192381047E-2,6.018464919E-4
1.417409750E0,-1.069904072E-3,1.456646528E-2,4.142519087E-3
1.427338750E0,-1.770410687E-3,1.542206481E-2,9.484232869E-4
1.437267750E0,2.301029861E-3,4.612026736E-3,-4.721069708E-4
1.447196750E0,1.595654059E-3,-1.053249650E-2,-7.172171026E-4
1.457125750E0,-2.036098856E-3,-2.486376464E-2,1.163519919E-4
1.467054750E0,-9.526056238E-4,-3.166541457E-2,-1.538514625E-3
1.476983750E0,5.023793783E-3,-3.860694170E-2,-2.632008400E-3
1.486912750E0,2.503851894E-3,-4.173792154E-2,2.587510040E-3
1.496841750E0,6.984951906E-4,-4.449269548E-2,3.336770460E-4
1.506770750E0,2.991238143E-3,-4.246215895E-2,8.644009940E-4
1.516699750E0,5.523152649E-4,-3.391501307E-2,-8.163200691E-4
1.526627750E0,2.108857501E-3,-1.827657595E-2,-6.302036345E-4
1.536556750E0,-1.828626264E-3,-5.685416982E-3,7.503791712E-4
1.546485750E0,5.134171806E-4,1.034968067E-3,-1.157764345E-3
1.556414750E0,-6.250841543E-4,3.809449496E-3,-9.090173990E-5
1.566343750E0,-5.107470788E-4,-2.208457328E-3,2.227849327E-4
1.576272750E0,8.100736886E-5,-1.363155432E-2,-9.812600911E-5
1.586201750E0,2.607269678E-3,-1.998331957E-2,-5.217632279E-4
1.596130750E0,1.825898420E-3,-2.674801461E-2,1.541654114E-3
1.606059250E0,-4.864204675E-4,-3.146681935E-2,1.323801931E-3
1.615988250E0,-1.092556166E-3,-2.747980133E-2,4.010167904E-4
1.625917250E0,-1.416488085E-3,-2.352279983E-2,-2.133579925E-3
1.635846250E0,-1.075603534E-3,-1.380572561E-2,-1.392155886E-3
1.645775250E0,1.087168697E-3,-8.429435082E-3,1.418403815E-3
1.655703250E0,-3.887549974E-4,-3.332145279E-3,-7.166522555E-4
1.665632250E0,2.436349168E-4,-1.452041673E-3,1.214479096E-3
1.675561250E0,9.339265525E-4,-4.565010779E-3,-1.137358136E-3
1.685490250E0,-3.062186763E-3,-6.668909919E-3,4.406926688E-3
1.695419250E0,3.173338715E-3,-5.747189745E-3,-7.750522345E-4
1.705348250E0,2.646271139E-3,-6.793951150E-3,1.921176445E-3
1.715277250E0,-1.103992574E-3,-7.730850950E-3,2.756077331E-3
1.725206250E0,-2.630851232E-4,-2.942285268E-3,1.810633345E-3
1.735135250E0,2.413173206E-4,7.941787131E-3,1.805307111E-3
1.745064250E0,-3.375803120E-3,9.088798426E-3,-4.754508846E-4
1.754993250E0,-5.885390565E-4,1.092584617E-2,1.793295844E-3
1.764922250E0,-8.360343054E-5,7.613406982E-3,-1.582684927E-4
1.774851250E0,-1.842593774E-3,1.520766993E-3,1.068338752E-3
1.784779250E0,-3.067525337E-3,4.004381597E-3,2.735061571E-4
1.794708250E0,-7.034372538E-4,1.106974762E-2,1.856222749E-3
1.804637250E0,-3.161065746E-3,5.527124740E-3,-4.930617288E-4
1.814566250E0,-2.275031991E-3,1.212643739E-2,1.217220211E-3
1.824495250E0,-6.815996021E-4,1.315793209E-2,-3.757723607E-4
1.834424250E0,-1.526886597E-3,1.459257677E-2,-1.895638648E-3
1.844353250E0,-2.629498951E-3,2.007810399E-2,-1.578566153E-3
1.854282250E0,-1.147982432E-3,3.319364041E-2,-2.812408842E-3
1.864211250E0,1.550778281E-3,4.791688547E-2,-3.402797971E-3
1.874140250E0,1.424810849E-3,4.177643731E-2,-1.584923826E-3
1.884069250E0,-1.172138378E-3,2.024887875E-2,7.393197156E-4
1.893998250E0,-1.110086683E-3,-2.227194980E-2,-1.948076300E-3
1.903927250E0,-6.940857973E-3,-6.313127279E-2,-4.316680133E-6
1.913856250E0,3.645474091E-3,-9.881683439E-2,-2.218734939E-3
1.923784250E0,-8.532883599E-3,-1.104528531E-1,1.169533702E-3
1.933713250E0,-4.015896469E-3,-1.119213179E-1,9.612746071E-4
1.943642250E0,-4.087448120E-3,-8.492828161E-2,1.608654857E-3
1.953571250E0,-5.880021956E-3,-4.642429948E-2,2.876852173E-3
1.963500250E0,-1.908947015E-3,9.894673713E-4,4.163579550E-3
1.973429250E0,1.056216657E-3,4.051024467E-2,7.748194039E-3
1.983358250E0,1.581893303E-3,7.347323000E-2,8.334035054E-3
1.993287250E0,1.594458707E-2,8.048905432E-2,8.658940904E-3
2.003216250E0,9.209597483E-4,6.620977819E-2,4.876561929E-3
2.013145250E0,-5.538004916E-3,3.013885766E-2,2.003011061E-3
2.023074250E0,3.200872801E-3,-7.886189967E-3,1.260130899E-3
2.033003250E0,7.476578467E-3,-4.183962941E-2,-4.541459493E-4
2.042932250E0,-1.025015488E-3,-6.521417946E-2,-3.863230813E-3
2.052860250E0,-7.083658129E-4,-6.794685125E-2,-1.958804671E-3
2.062789250E0,1.122319140E-3,-5.412490666E-2,-2.760194242E-3
2.072718250E0,-7.493505254E-4,-3.351550177E-2,1.182083040E-3
2.082647250E0,-1.269005006E-3,-3.206356196E-3,-2.383030020E-3
2.092576250E0,-1.460752683E-3,2.210406028E-2,1.642071642E-3
2.102505250E0,-1.102501294E-3,3.546009213E-2,-2.062502317E-4
2.112434250E0,-3.471915610E-3,3.996749222E-2,-1.076571178E-3
2.122363250E0,-2.956768963E-3,3.075474314E-2,-4.607820883E-4
2.132292250E0,-6.403513253E-4,1.939822547E-2,-5.571888760E-4
2.142221250E0,-2.560360124E-3,2.328351373E-3,-2.398814075E-3
2.152150250E0,-3.240797669E-3,-1.179865282E-2,-5.306066014E-4
2.162079250E0,-2.522526542E-3,-1.647941209E-2,-3.631829750E-3
2.172008250E0,-4.244260024E-3,-1.631616056E-2,-3.701870795E-3
2.181937250E0,-3.595229005E-3,-5.549630616E-3,-2.546733245E-3
2.191865250E0,-2.329162322E-3,5.484112073E-3,-1.346446574E-3
2.201794250E0,-3.835330484E-3,1.404688228E-2,1.154185971E-3
2.211723250E0,-5.066243466E-3,2.057801932E-2,2.522252034E-3
2.221652250E0,-3.032935318E-3,2.195432782E-2,3.372838255E-3
2.231581250E0,-1.068055164E-3,1.159649435E-2,9.237951599E-4
2.241510250E0,3.089462407E-4,-9.973915294E-4,1.693693688E-3
2.251439250E0,2.322296146E-3,-1.371212211E-2,-1.050427556E-3
2.261368250E0,1.066026278E-3,-2.502364293E-2,3.056519665E-3
2.271297250E0,2.625307068E-3,-3.287224472E-2,3.515472636E-4
2.281226250E0,1.879383810E-3,-3.909298405E-2,-3.758398816E-5
2.291155250E0,3.625885118E-3,-3.910337016E-2,1.043393044E-3
2.301084250E0,5.989114288E-3,-4.097813368E-2,2.098130062E-4
2.311013250E0,8.465321735E-3,-4.370148107E-2,5.543059204E-3
2.320941250E0,8.007710800E-3,-4.476600885E-2,2.961784136E-3
2.330870250E0,8.698534220E-3,-4.022505134E-2,1.922618831E-3
2.340799250E0,8.296544664E-3,-3.384098783E-2,1.001941739E-3
2.350728250E0,6.200903095E-3,-1.237058267E-2,1.099679619E-3
2.360657250E0,5.105120130E-3,1.450037956E-2,2.688616514E-3
2.370586250E0,1.383085735E-3,3.901344538E-2,1.262227539E-3
2.380515250E0,2.079474740E-3,6.865348667E-2,2.958439058E-3
2.390444250E0,2.623292617E-3,9.858848900E-2,3.674829379E-3
2.400373250E0,5.449890159E-4,1.239693537E-1,4.728864413E-3
2.410302250E0,1.010401174E-4,1.447207034E-1,3.602613462E-3
2.420231250E0,1.204539090E-3,1.552144438E-1,4.165949300E-3
2.430160250E0,6.924131885E-4,1.538519710E-1,6.077033468E-3
2.440089250E0,-1.740682404E-3,1.415055394E-1,2.966939704E-3
2.450017250E0,-1.416309271E-3,1.170814112E-1,7.932677399E-4
2.459946250E0,-1.303018304E-3,7.957579195E-2,2.873022342E-3
2.469875250E0,-1.268929802E-3,4.329900444E-2,1.925509423E-4
2.479804250E0,2.493304200E-4,7.748963777E-3,2.408213913E-4
2.489733250E0,9.087291546E-4,-2.394238487E-2,-1.264284365E-4
2.499662250E0,2.171576489E-3,-4.490891099E-2,5.128751509E-4
2.509591250E0,4.214221146E-3,-5.785134062E-2,-1.985969022E-3
2.519520250E0,-2.326215617E-4,-6.032163650E-2,6.052812096E-4
2.529449250E0,7.170615718E-4,-5.384403095E-2,-3.722088877E-3
2.539378250E0,-1.807805849E-3,-3.528374806E-2,-9.808596224E-4
2.549307250E0,2.188267186E-3,-1.748344675E-2,-1.437591389E-3
2.559236250E0,-7.725358009E-4,2.986837411E-3,-1.814826392E-4
2.569165250E0,-1.278003678E-3,2.642345428E-2,9.181364439E-4
2.579093250E0,2.130119130E-3,4.270619899E-2,1.590356929E-3
2.589022250E0,9.833620861E-4,5.201421306E-2,4.073222168E-3
2.598951250E0,7.467926480E-4,5.257048458E-2,3.031110391E-4
2.608880583E0,2.733510919E-3,4.750142619E-2,3.263747320E-3
2.618809583E0,7.994123735E-4,3.573954850E-2,-1.633627340E-3
2.628738583E0,6.803693250E-4,2.573617920E-2,4.199361429E-4
2.638667583E0,1.736265142E-3,1.454740390E-2,-1.166857313E-3
2.648596583E0,4.262560979E-4,7.979249582E-3,4.981509410E-4
2.658525583E0,1.631260384E-3,4.091923125E-3,5.268733948E-4
2.668454583E0,-3.085197648E-3,2.418925520E-3,-2.938431688E-3
2.678383583E0,-1.584931277E-3,7.248503622E-3,-7.926290855E-4
2.688312583E0,1.400738489E-3,1.296977233E-2,1.573323505E-3
2.698241583E0,-6.702123210E-5,2.382995375E-2,1.850758679E-3
2.708169583E0,1.831280068E-3,3.529699147E-2,-2.387575805E-4
2.718098583E0,2.143451013E-3,4.554194584E-2,1.563486410E-3
2.728027583E0,3.582518548E-5,5.749953911E-2,-2.277558669E-4
2.737956583E0,-4.308018833E-5,6.760632247E-2,1.692344900E-3
2.747885583E0,-4.466590472E-3,7.588236034E-2,1.438279171E-3
2.757814583E0,-6.432696246E-4,8.193576336E-2,-6.883637980E-5
2.767743583E0,-2.645677887E-4,8.249449730E-2,2.797257621E-3
2.777672583E0,8.643935435E-4,7.866890728E-2,1.025006408E-3
2.787601583E0,1.262802631E-3,7.123336196E-2,1.086259261E-3
2.797530583E0,-4.447922111E-4,6.515415013E-2,1.705299830E-3
2.807459583E0,-9.063179605E-4,5.161756650E-2,4.056870937E-3
2.817388583E0,8.356710896E-5,3.851628676E-2,1.801778795E-3
2.827317583E0,8.769230917E-4,2.983491123E-2,5.447864532E-5
2.837245583E0,1.277521253E-3,1.990787871E-2,1.317893621E-3
2.847174583E0,2.420842648E-4,1.207259204E-2,1.668099314E-3
2.857103583E0,1.754080877E-3,1.022735052E-2,1.088617370E-3
2.867032583E0,5.428753793E-4,1.233843807E-2,5.531078205E-5
2.876961583E0,-3.950279206E-4,2.042704448E-2,7.286670152E-4
2.886890583E0,2.494570799E-4,2.754700556E-2,1.140092500E-4
2.896819583E0,-4.359721206E-4,3.581918776E-2,3.245195374E-3
2.906748583E0,1.541158650E-3,3.959608451E-2,1.717872452E-3
2.916677583E0,1.306415070E-3,3.943090141E-2,1.489351038E-3
2.926606583E0,8.888314478E-4,3.730623424E-2,1.270971727E-3
2.936535583E0,1.055294648E-3,2.686319314E-2,2.766897669E-3
2.946464583E0,1.132792793E-3,1.438548416E-2,-7.633888163E-4
