"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.467823333E-1,-1.629960723E-3,4.392232373E-2,-1.969523262E-3
8.567113333E-1,3.178836778E-5,3.297534958E-2,1.929235645E-3
8.666403334E-1,3.516801167E-3,1.557185780E-2,-7.906509563E-4
8.765693334E-1,-7.237819955E-4,-4.318251740E-3,1.005062833E-3
8.864973334E-1,-9.820517153E-5,-2.534444071E-2,-5.558156408E-4
8.964263333E-1,8.218134753E-4,-4.045500234E-2,9.997421876E-4
9.063553333E-1,3.981045447E-4,-5.131643638E-2,3.715022467E-4
9.162843333E-1,1.295442693E-3,-6.207235157E-2,-3.983542323E-3
9.262133333E-1,3.416929394E-5,-6.406359375E-2,2.669300186E-3
9.361423334E-1,-7.732682861E-4,-6.675442308E-2,1.050420338E-3
9.460713334E-1,1.781768166E-3,-5.784056336E-2,4.486963619E-3
9.560003334E-1,1.198503654E-3,-4.681456834E-2,8.604810573E-4
9.659293334E-1,1.349770930E-3,-3.148274869E-2,2.286337549E-3
9.758583333E-1,8.521960117E-4,-1.749951765E-2,2.565314528E-3
9.857873333E-1,-1.429600408E-3,1.050423889E-4,2.714717761E-3
9.957163333E-1,5.634617992E-4,1.551405527E-2,6.006301846E-3
1.005644333E0,1.656156499E-3,3.618790582E-2,2.628881019E-3
1.015573333E0,-3.352609463E-3,5.061978102E-2,6.274043582E-3
1.025502333E0,-3.007197520E-3,6.438672543E-2,4.851383157E-3
1.035431333E0,-4.842413124E-3,6.415101141E-2,3.456363920E-3
1.045360333E0,-4.617795348E-4,4.805113748E-2,4.295526072E-3
1.055289333E0,-1.089954749E-4,1.326424442E-2,2.710277447E-3
1.065218333E0,-2.008746378E-4,-4.651173949E-2,-2.431683242E-4
1.075147333E0,-6.204005331E-4,-1.115728244E-1,-4.657228012E-3
1.085076333E0,1.510394737E-3,-1.752237082E-1,-8.875142783E-3
1.095005333E0,2.449480817E-3,-2.224764228E-1,-7.051498629E-3
1.104934333E0,2.657473553E-3,-2.541142702E-1,-9.280831553E-3
1.114863333E0,3.238340374E-3,-2.591249645E-1,-7.437601686E-3
1.124791333E0,7.866346277E-4,-2.461284697E-1,-6.465015002E-3
1.134720333E0,3.142379224E-3,-2.125074267E-1,1.751935109E-3
1.144649333E0,-1.275538234E-3,-1.655077040E-1,4.493393004E-3
1.154578333E0,-7.014325820E-4,-1.143308207E-1,1.043861732E-3
1.164507333E0,-1.158431172E-3,-6.603652984E-2,-9.489818476E-4
1.174436333E0,4.697940312E-4,-2.044163831E-2,-1.266971231E-5
1.184365333E0,-1.160326879E-3,1.795129105E-2,-4.920386709E-4
1.194294333E0,-3.884506179E-3,4.060783982E-2,-4.966221750E-4
1.204223333E0,-9.909817018E-4,4.797654226E-2,-2.984014340E-3
1.214152333E0,-9.635509923E-4,4.348325729E-2,-1.265742816E-3
1.224081333E0,-2.678094199E-3,2.707765251E-2,-3.918251488E-3
1.234010333E0,7.199365646E-4,7.241680752E-3,1.315920381E-3
1.243939333E0,-1.732036006E-3,-1.195145492E-2,-8.287234232E-4
1.253867333E0,-3.296344774E-3,-2.204880677E-2,6.965245120E-4
1.263796333E0,-3.177301493E-3,-2.167383209E-2,1.194003038E-3
1.273725333E0,-2.152522095E-3,-1.553326473E-2,3.187870607E-4
1.283654333E0,5.207592621E-4,-9.916069685E-4,1.173129305E-3
1.293583333E0,-2.873494988E-3,9.015205316E-3,2.554334467E-3
1.303512333E0,-5.232552066E-4,1.173615735E-2,4.377800971E-3
1.313441333E0,5.875928327E-4,3.785442095E-3,8.629521355E-3
1.323370333E0,-3.027017228E-4,-1.825727522E-2,9.043376893E-3
1.333299333E0,1.049367711E-4,-4.237424955E-2,1.063907519E-2
1.343228333E0,-2.463149372E-3,-6.703458726E-2,1.276401058E-2
1.353157333E0,-2.936834237E-3,-9.127795696E-2,1.864194125E-2
1.363086333E0,-4.441156052E-4,-1.110782921E-1,2.038817666E-2
1.373014333E0,-7.567543071E-3,-1.220107153E-1,3.302264214E-2
1.382943333E0,-4.520887043E-3,-1.219856814E-1,3.504531458E-2
1.392872333E0,4.510357976E-3,-1.132123098E-1,3.102463670E-2
1.402801333E0,-1.442339737E-3,-1.003444493E-1,3.746868670E-2
1.412730333E0,6.948923692E-5,-8.747182786E-2,4.434328899E-2
1.422659333E0,-3.422354348E-4,-7.793878019E-2,4.733002558E-2
1.432588333E0,-2.355271252E-3,-6.475129724E-2,4.202003032E-2
1.442517333E0,-4.472750705E-3,-5.831364170E-2,3.823514283E-2
1.452446333E0,-4.159567412E-3,-5.904163420E-2,3.433910757E-2
1.462375333E0,-4.746527877E-3,-5.236722156E-2,2.910120040E-2
1.472304333E0,-2.084770007E-3,-4.790405557E-2,3.126002103E-2
1.482233333E0,-7.867454551E-4,-4.616474360E-2,4.546745494E-2
1.492161333E0,-2.912643366E-3,-4.062744603E-2,4.322160408E-2
1.502090333E0,-1.300099306E-3,-2.659019269E-2,3.490668163E-2
1.512019333E0,-3.572399728E-3,-1.562534831E-2,4.002014920E-2
1.521948333E0,-2.377972240E-3,-9.355201386E-3,2.745002881E-2
1.531877333E0,5.834680051E-4,-5.462575238E-3,2.449481934E-2
1.541806333E0,-4.743120633E-3,-9.697800502E-3,2.161807567E-2
1.551735333E0,8.906051517E-5,-1.826566830E-2,1.264203247E-2
1.561664333E0,-1.900586998E-3,-2.696994320E-2,5.124994088E-3
1.571593333E0,-7.300511934E-4,-3.548655659E-2,3.965227399E-3
1.581522333E0,1.260395162E-3,-4.350613430E-2,3.489320632E-3
1.591451333E0,-7.021483034E-4,-5.215224996E-2,3.441905137E-3
1.601380333E0,-6.699240766E-4,-5.257809162E-2,-2.867868170E-4
1.611308333E0,5.456344225E-4,-4.651388526E-2,-3.751367331E-4
1.621237333E0,-4.711179528E-3,-2.524907701E-2,3.952499945E-3
1.631166333E0,-3.065979108E-4,3.984282725E-3,2.609604504E-3
1.641095333E0,-2.823630348E-4,3.165080026E-2,-4.607541487E-4
1.651024333E0,-1.357857604E-3,5.994605646E-2,1.183962449E-4
1.660953333E0,7.721385919E-4,8.118023723E-2,1.518686535E-3
1.670882333E0,-9.151254781E-4,9.922865778E-2,2.404302359E-5
1.680811333E0,-2.407560823E-3,1.061763167E-1,4.418930039E-4
1.690740333E0,-4.380506463E-3,1.077109203E-1,9.230873547E-4
1.700669333E0,-3.799055703E-4,1.024043038E-1,2.262923634E-3
1.710598333E0,-2.025234280E-3,9.260772169E-2,9.886461776E-4
1.720527333E0,-5.189501680E-4,7.667376846E-2,-8.382820524E-4
1.730455333E0,-1.641047886E-3,6.254682690E-2,5.435356870E-4
1.740384333E0,-3.201127518E-3,5.112106726E-2,-3.409660887E-3
1.750313333E0,-2.600564156E-3,4.081692547E-2,-2.678004093E-4
1.760242333E0,-3.589395899E-3,3.740541637E-2,-4.786918405E-3
1.770171333E0,1.254296862E-3,4.049995914E-2,-3.671965096E-3
1.780100333E0,-9.512668476E-5,4.482600093E-2,-1.073040627E-2
1.790029333E0,4.682028666E-4,5.678096041E-2,-9.221523069E-3
1.799958333E0,1.673016697E-3,7.937947661E-2,-1.238482539E-2
1.809887333E0,1.253530383E-3,1.041972041E-1,-1.930786110E-2
1.819816333E0,6.253881846E-3,1.338147521E-1,-2.271910384E-2
1.829745333E0,-4.550665617E-4,1.621494889E-1,-4.372354131E-3
1.839673333E0,-1.291565364E-3,1.886426210E-1,-8.679507300E-5
1.849602333E0,-5.336571485E-4,2.012730539E-1,1.505554188E-3
1.859531333E0,-3.136801533E-4,2.053892314E-1,2.713563852E-3
1.869460333E0,5.659740418E-5,2.025803030E-1,4.641052801E-3
1.879389333E0,-8.550025523E-4,1.934930682E-1,-1.861928031E-4
1.889318333E0,2.026277129E-3,1.776042581E-1,7.151223253E-4
1.899247333E0,-2.666212851E-3,1.567668915E-1,1.534576993E-3
1.909176333E0,-1.657070592E-3,1.293416917E-1,2.979279961E-3
1.919105333E0,3.131357953E-4,1.000913903E-1,1.842924394E-4
1.929034333E0,1.219887752E-3,6.588492543E-2,1.122081419E-3
