"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
7.474933334E-1,-2.235238151E-1,-2.936718563E-1,9.803055262E0
7.574223334E-1,-2.249784379E-1,-2.935683788E-1,9.803025441E0
7.673503333E-1,-2.275896034E-1,-2.936420355E-1,9.802962876E0
7.772793333E-1,-2.316136207E-1,-2.936206566E-1,9.802869321E0
7.872083334E-1,-2.367521355E-1,-2.937361939E-1,9.802743021E0
7.971373334E-1,-2.428095768E-1,-2.937890199E-1,9.802593332E0
8.070663334E-1,-2.493103650E-1,-2.938875820E-1,9.802426686E0
8.169953334E-1,-2.558248393E-1,-2.940451096E-1,9.802254193E0
8.269243333E-1,-2.619101829E-1,-2.940687543E-1,9.802092810E0
8.368533333E-1,-2.675728640E-1,-2.941412415E-1,9.801937859E0
8.467823333E-1,-2.723420907E-1,-2.943237477E-1,9.801801034E0
8.567113333E-1,-2.756131876E-1,-2.944195142E-1,9.801706894E0
8.666403334E-1,-2.775345278E-1,-2.944725776E-1,9.801650761E0
8.765693334E-1,-2.776712065E-1,-2.942272139E-1,9.801654269E0
8.864973334E-1,-2.759055849E-1,-2.943377262E-1,9.801701047E0
8.964263333E-1,-2.726776660E-1,-2.943517778E-1,9.801791094E0
9.063553333E-1,-2.681360240E-1,-2.943422030E-1,9.801916224E0
9.162843333E-1,-2.627820758E-1,-2.942066390E-1,9.802065328E0
9.262133333E-1,-2.567706082E-1,-2.942246374E-1,9.802224373E0
9.361423334E-1,-2.506874757E-1,-2.941951455E-1,9.802382832E0
9.460713334E-1,-2.447306430E-1,-2.940515598E-1,9.802537199E0
9.560003334E-1,-2.398977914E-1,-2.939576207E-1,9.802659990E0
9.659293334E-1,-2.364904909E-1,-2.937661244E-1,9.802748283E0
9.758583333E-1,-2.343181224E-1,-2.937423883E-1,9.802800908E0
9.857873333E-1,-2.338682157E-1,-2.938096130E-1,9.802809679E0
9.957163333E-1,-2.352374143E-1,-2.939087051E-1,9.802774011E0
1.005644333E0,-2.381247877E-1,-2.939246022E-1,9.802703844E0
1.015573333E0,-2.425109486E-1,-2.940282075E-1,9.802593332E0
1.025502333E0,-2.481570931E-1,-2.943907166E-1,9.802441304E0
1.035431333E0,-2.544321605E-1,-2.947183982E-1,9.802270566E0
1.045360333E0,-2.596162653E-1,-2.948499423E-1,9.802130817E0
1.055289333E0,-2.622589693E-1,-2.949400991E-1,9.802057727E0
1.065218333E0,-2.603123581E-1,-2.950104849E-1,9.802107428E0
1.075147333E0,-2.522295692E-1,-2.950647910E-1,9.802316759E0
1.085076333E0,-2.378952479E-1,-2.951283977E-1,9.802673439E0
1.095005333E0,-2.183551688E-1,-2.948279056E-1,9.803137123E0
1.104934333E0,-1.952126567E-1,-2.945627344E-1,9.803632967E0
1.114863333E0,-1.701332544E-1,-2.943348757E-1,9.804107176E0
1.124791333E0,-1.455252656E-1,-2.940027539E-1,9.804513558E0
1.134720333E0,-1.231330152E-1,-2.939746324E-1,9.804821121E0
1.144649333E0,-1.046879004E-1,-2.939994100E-1,9.805034544E0
1.154578333E0,-9.102396238E-2,-2.941546170E-1,9.805166107E0
1.164507333E0,-8.227898542E-2,-2.941797783E-1,9.805242705E0
1.174436333E0,-7.827138604E-2,-2.941461751E-1,9.805276619E0
1.184365333E0,-7.823226451E-2,-2.942480080E-1,9.805273696E0
1.194294333E0,-8.115758082E-2,-2.945622959E-1,9.805240951E0
1.204223333E0,-8.564927484E-2,-2.947549616E-1,9.805196512E0
1.214152333E0,-9.024873122E-2,-2.949286970E-1,9.805150319E0
1.224081333E0,-9.384318827E-2,-2.950118371E-1,9.805114067E0
1.234010333E0,-9.552829186E-2,-2.951596803E-1,9.805093601E0
1.243939333E0,-9.527062152E-2,-2.952718189E-1,9.805092432E0
1.253867333E0,-9.356709005E-2,-2.955964308E-1,9.805098864E0
1.263796333E0,-9.150467659E-2,-2.957995301E-1,9.805112312E0
1.273725333E0,-8.976326614E-2,-2.961001684E-1,9.805119329E0
1.283654333E0,-8.913735825E-2,-2.963528960E-1,9.805117575E0
1.293583333E0,-8.947091449E-2,-2.963896238E-1,9.805113482E0
1.303512333E0,-9.093354980E-2,-2.966050024E-1,9.805093601E0
1.313441333E0,-9.224699889E-2,-2.965073356E-1,9.805084246E0
1.323370333E0,-9.233281592E-2,-2.966187251E-1,9.805080153E0
1.333299333E0,-8.982797837E-2,-2.966834830E-1,9.805101203E0
1.343228333E0,-8.454300905E-2,-2.968204357E-1,9.805143887E0
1.353157333E0,-7.671298429E-2,-2.969719882E-1,9.805204114E0
1.363086333E0,-6.685628262E-2,-2.970227677E-1,9.805274280E0
1.373014333E0,-5.541552454E-2,-2.974180943E-1,9.805333922E0
1.382943333E0,-4.356193477E-2,-2.978577683E-1,9.805380115E0
1.392872333E0,-3.255763480E-2,-2.977093404E-1,9.805427477E0
1.402801333E0,-2.182986701E-2,-2.977360001E-1,9.805456713E0
1.412730333E0,-1.277059193E-2,-2.978344708E-1,9.805469577E0
1.422659333E0,-5.032465537E-3,-2.978756937E-1,9.805475425E0
1.432588333E0,1.741391756E-3,-2.981297004E-1,9.805468408E0
1.442517333E0,7.618618214E-3,-2.983618349E-1,9.805459052E0
1.452446333E0,1.295635295E-2,-2.987059070E-1,9.805442680E0
1.462375333E0,1.802909004E-2,-2.991256640E-1,9.805421630E0
1.472304333E0,2.304274170E-2,-2.995632184E-1,9.805398241E0
1.482233333E0,2.766674040E-2,-2.997815023E-1,9.805379530E0
1.492161333E0,3.135268582E-2,-2.999876349E-1,9.805361989E0
1.502090333E0,3.451654340E-2,-3.002399057E-1,9.805343862E0
