"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.759183473126192E9,"2025-09-29 19:04:33.126 UTC-03:00"
"PAUSE",1.612820738749579E2,1.759183634411306E9,"2025-09-29 19:07:14.411 UTC-03:00"
