"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.759182824085412E9,"2025-09-29 18:53:44.085 UTC-03:00"
"PAUSE",6.664688562502852E1,1.759182890733554E9,"2025-09-29 18:54:50.734 UTC-03:00"
