"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.486171250E-1,1.978063025E-3,1.540000550E-2,3.975609783E-3
8.585461250E-1,-1.287771622E-3,-4.349686578E-2,-8.564298041E-4
8.684751250E-1,1.519717835E-2,-6.729646027E-2,2.511108061E-3
8.784041250E-1,1.262030378E-2,-1.330248713E-1,8.897755761E-4
8.883331250E-1,1.426770911E-2,-1.730731726E-1,9.342615958E-4
8.982621250E-1,1.052996144E-2,-1.890566647E-1,-3.792316653E-3
9.081911250E-1,1.225947030E-2,-1.937688887E-1,-4.332051147E-3
9.181201250E-1,1.925905794E-2,-1.935275942E-1,1.251798356E-3
9.280491250E-1,2.835584339E-3,-1.809266210E-1,2.910848707E-3
9.379781250E-1,9.636498988E-3,-1.656965315E-1,2.157296985E-4
9.479071250E-1,1.068877429E-2,-1.394743323E-1,-1.726731658E-3
9.578361250E-1,8.318562061E-3,-1.094940603E-1,-1.142700668E-3
9.677651250E-1,4.672366660E-3,-7.169120759E-2,8.911071345E-4
9.776941250E-1,3.093644511E-3,-3.313050047E-2,1.101230504E-3
9.876231250E-1,-4.260391928E-3,6.806251127E-3,4.147383384E-3
9.975521250E-1,-1.756487880E-3,4.211523756E-2,3.929803148E-3
1.007481125E0,-3.696236294E-3,7.811618596E-2,5.317573436E-3
1.017410125E0,-5.674698390E-3,1.043736190E-1,3.331387881E-3
1.027339125E0,-7.053656504E-3,1.194851324E-1,5.507978145E-3
1.037268125E0,-9.373003617E-3,1.295721233E-1,5.261902232E-3
1.047197125E0,-9.638253599E-3,1.310885251E-1,7.159404457E-3
1.057127125E0,-9.471007623E-3,1.225773245E-1,5.826225970E-3
1.067056125E0,-8.109555580E-3,1.082968563E-1,4.375887103E-3
1.076985125E0,-4.201899283E-3,8.664695174E-2,3.730869386E-3
1.086914125E0,-3.160151420E-3,6.153406575E-2,1.761228545E-3
1.096843125E0,-3.417412750E-3,2.900408581E-2,4.135702737E-3
1.106772125E0,3.251409158E-3,8.329008706E-4,2.567101037E-3
1.116701125E0,3.384034149E-3,-2.946162224E-2,1.455764053E-3
1.126630125E0,4.460271448E-3,-5.474020541E-2,7.015347946E-4
1.136559125E0,5.033650436E-3,-7.746495306E-2,2.349498915E-3
1.146488125E0,6.184037309E-3,-9.028974175E-2,-1.655625179E-3
1.156417125E0,8.127080277E-3,-9.915007651E-2,-7.885000668E-4
1.166346125E0,9.119499475E-3,-9.776576608E-2,-7.026037201E-5
1.176275125E0,3.702628892E-3,-9.327008575E-2,-1.160292421E-3
1.186204125E0,5.607544445E-3,-8.173906058E-2,9.063021280E-4
1.196133125E0,3.907914273E-3,-6.567087770E-2,-5.280761980E-4
1.206062125E0,3.440183122E-3,-4.391745478E-2,3.175344318E-5
1.215991125E0,5.067107268E-4,-2.036365867E-2,2.141776029E-3
1.225920125E0,2.836825326E-3,4.351333715E-3,1.646720106E-3
1.235849125E0,5.185436457E-4,2.046771906E-2,2.754328772E-3
1.245778125E0,-4.217913374E-4,4.537992924E-2,2.849126700E-3
1.255707125E0,-1.054824796E-3,5.871863663E-2,4.948496353E-3
1.265637125E0,-2.719593700E-3,7.036577165E-2,3.265655600E-3
1.275566125E0,-4.785407800E-3,7.482203841E-2,3.084028140E-3
1.285495125E0,-3.743516048E-3,7.507193089E-2,3.036028240E-3
1.295424125E0,-6.287367549E-3,7.236003876E-2,1.220551319E-3
1.305353125E0,-2.556794323E-3,6.002665684E-2,3.429407021E-3
1.315282125E0,1.369168423E-2,9.999059141E-2,1.041780785E-2
1.325211125E0,-2.810529992E-2,1.494229436E-1,9.551730473E-4
1.335140125E0,3.707225434E-3,1.515598595E-1,1.375006419E-2
1.345069125E0,-1.728623174E-2,1.719058454E-1,-2.647915389E-3
1.354998125E0,-1.391839795E-2,1.421037465E-1,9.862283245E-3
1.364927125E0,5.302142818E-3,1.048245206E-1,-3.301556222E-3
1.374856125E0,-1.900719106E-2,2.326042019E-2,4.698046949E-3
1.384785125E0,2.056636848E-2,-6.833770126E-2,-4.368594848E-3
1.394714125E0,-4.286626354E-4,-1.743152738E-1,2.906052396E-4
1.404643125E0,3.081578203E-2,-2.508837283E-1,-9.043763392E-3
1.414572125E0,1.198297366E-2,-2.939534485E-1,-2.759501804E-3
1.424501125E0,2.430068702E-2,-3.123378754E-1,-1.061684452E-2
1.434430125E0,1.777833886E-2,-3.106268048E-1,-2.138405573E-3
1.444359125E0,2.348005213E-2,-2.766995132E-1,-5.072169472E-3
1.454288125E0,9.470759891E-3,-2.164327055E-1,-2.073982265E-3
1.464217125E0,5.833841395E-3,-1.508042663E-1,-4.621362314E-3
1.474147125E0,6.684987340E-3,-8.336371183E-2,-1.507140696E-4
1.484076125E0,-6.918111350E-3,-1.800503209E-2,1.118330751E-3
1.494005125E0,1.691089477E-3,3.428027779E-2,1.001684228E-3
1.503934125E0,-1.179051585E-2,9.725903720E-2,4.875810351E-3
1.513863125E0,-4.444984719E-3,1.428571492E-1,4.161550663E-3
1.523792125E0,-1.213520020E-2,1.792349964E-1,6.861988455E-3
1.533721125E0,-1.001745462E-2,2.024875879E-1,4.451294895E-3
1.543650125E0,-1.273616776E-2,2.069318891E-1,4.649123177E-3
1.553579125E0,-1.368505321E-2,1.996702552E-1,6.232905202E-3
1.563508125E0,-2.820722759E-3,1.691215038E-1,2.990558511E-3
1.573437125E0,-1.635916904E-2,1.298992783E-1,2.394276904E-3
1.583366125E0,4.027294926E-3,7.263013721E-2,3.107944969E-3
1.593295125E0,-1.824472100E-2,1.782601513E-2,-3.150161356E-4
1.603224125E0,1.456279494E-2,-3.796483576E-2,-3.996454179E-4
1.613153125E0,-7.798437029E-3,-8.432700485E-2,-1.158379950E-3
1.623082125E0,1.517273858E-2,-1.168627664E-1,-5.584028549E-4
1.633011125E0,2.640435472E-3,-1.354974359E-1,-1.151222736E-3
1.642940125E0,1.165695861E-2,-1.434988976E-1,-1.561364159E-3
1.652869125E0,5.973239895E-3,-1.315173358E-1,-2.205316443E-3
1.662798125E0,7.157894317E-3,-1.057005748E-1,-1.774717122E-3
1.672728125E0,7.988801226E-3,-6.002629921E-2,-4.836167209E-4
1.682657125E0,-2.312200842E-3,-1.024558302E-2,1.409424935E-3
1.692586125E0,4.596571438E-3,3.120199218E-2,2.476852387E-6
1.702515125E0,-7.838960737E-3,8.751247078E-2,4.315995611E-3
1.712444125E0,-9.572945535E-3,1.370091885E-1,1.562020741E-3
1.722373125E0,-1.477110572E-2,1.536633521E-1,1.952643273E-3
1.732302125E0,-1.435858198E-2,1.417124122E-1,5.399572663E-3
1.742231125E0,-9.944828227E-3,1.015943587E-1,9.773899801E-4
1.752160125E0,-3.958574496E-3,5.009680986E-2,2.095651347E-3
1.762089125E0,2.118314616E-3,-1.122927666E-2,6.416025572E-4
1.772018125E0,4.420084413E-3,-6.254705787E-2,-6.694714539E-4
1.781947125E0,8.892482147E-3,-1.105878800E-1,3.302530386E-4
1.791876125E0,9.684240445E-3,-1.469251066E-1,-3.010416403E-3
1.801805125E0,1.246178243E-2,-1.800356060E-1,-2.433253452E-3
1.811734125E0,1.205458585E-2,-2.015084028E-1,-4.031682387E-3
1.821662375E0,1.054548658E-2,-2.076163143E-1,-1.805521082E-3
1.831591375E0,1.471360028E-2,-2.013230026E-1,-5.997869186E-3
1.841520375E0,1.181861199E-2,-1.893111318E-1,-2.636748832E-3
1.851449375E0,1.198159717E-2,-1.825925112E-1,-5.392321385E-3
1.861379375E0,1.570279524E-2,-1.893738657E-1,-2.968793735E-3
