"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.386871250E-1,-4.047745999E-2,-2.447121512E-1,5.088188589E-2
8.486171250E-1,-2.859822378E-1,-3.005593099E-2,4.453104955E-1
8.585461250E-1,-4.062244901E-1,-5.228675254E-2,1.797328842E-1
8.684751250E-1,-3.733446463E-1,-6.706023624E-2,-3.141621262E-1
8.784041250E-1,-4.818170017E-1,-5.503808677E-2,9.606916845E-2
8.883331250E-1,-3.589984296E-1,-5.197350623E-2,2.699437273E-1
8.982621250E-1,-2.159039246E-1,-4.606842142E-2,7.541154027E-3
9.081911250E-1,-1.384368140E-1,-4.826624360E-2,-3.047627270E-2
9.181201250E-1,-4.123054482E-2,-2.822423587E-2,5.369322717E-2
9.280491250E-1,-1.317143798E-2,-8.444567118E-3,9.331162155E-2
9.379781250E-1,7.211029368E-2,-1.720811812E-2,-3.404892147E-2
9.479071250E-1,1.125419992E-1,-3.702210272E-2,-4.488848984E-2
9.578361250E-1,1.783724929E-1,-1.588445468E-2,-3.722746789E-2
9.677651250E-1,2.169955998E-1,-1.662505936E-2,5.045270026E-2
9.776941250E-1,2.547715365E-1,-1.226508301E-2,-4.381143272E-2
9.876231250E-1,2.592823893E-1,-2.144053381E-2,-8.440338850E-2
9.975521250E-1,2.706059427E-1,-1.287576986E-2,-6.279675722E-2
1.007481125E0,2.512019027E-1,-1.695118781E-2,5.133270621E-3
1.017410125E0,2.075168064E-1,-1.429225786E-2,-1.353571951E-2
1.027339125E0,1.558408869E-1,-1.917651018E-2,-4.277822971E-2
1.037268125E0,9.447048487E-2,-2.250204099E-2,1.858654439E-2
1.047197125E0,3.400773514E-2,-2.477638861E-2,1.516943157E-2
1.057127125E0,-1.812086849E-2,-1.975098085E-2,9.514589310E-3
1.067056125E0,-8.951348953E-2,-3.572155405E-2,3.093352497E-2
1.076985125E0,-1.367872048E-1,-3.514311824E-2,5.740387022E-2
1.086914125E0,-1.826168040E-1,-3.768804576E-2,3.830277085E-2
1.096843125E0,-2.174501112E-1,-4.301900709E-2,5.160577118E-2
1.106772125E0,-2.313641273E-1,-4.300628940E-2,6.706756353E-2
1.116701125E0,-2.313994847E-1,-4.363601625E-2,5.429607511E-2
1.126630125E0,-2.193008829E-1,-3.725887841E-2,4.892774642E-2
1.136559125E0,-1.940851308E-1,-4.178968482E-2,4.903182685E-2
1.146488125E0,-1.576400021E-1,-3.332805114E-2,5.149058104E-2
1.156417125E0,-1.020713353E-1,-3.242050845E-2,3.192111969E-2
1.166346125E0,-5.641684195E-2,-3.908092562E-2,2.940857112E-2
1.176275125E0,-9.458035771E-3,-3.212982874E-2,3.844368875E-2
1.186204125E0,3.120532913E-2,-2.093082106E-2,9.938512444E-3
1.196133125E0,7.471307209E-2,-2.098200247E-2,-1.448472261E-2
1.206062125E0,1.057000991E-1,-2.178197466E-2,-7.574483156E-3
1.215991125E0,1.249670949E-1,-2.501504637E-2,1.781061888E-3
1.225920125E0,1.493120321E-1,-2.783413522E-2,-1.410933137E-2
1.235849125E0,1.468798279E-1,-2.070502717E-2,-2.351282358E-2
1.245778125E0,1.395140904E-1,-2.078535330E-2,-1.206339061E-2
1.255707125E0,1.224511659E-1,-2.044659851E-2,1.826085448E-3
1.265637125E0,9.152960949E-2,-2.034083700E-2,3.773208261E-3
1.275566125E0,5.494118745E-2,-2.187527429E-2,-1.146755934E-2
1.285495125E0,5.877730809E-3,-2.472571883E-2,2.779064655E-2
1.295424125E0,-3.968715398E-2,-3.358041331E-2,3.172465324E-2
1.305353125E0,-6.239382925E-2,-4.276481766E-2,3.594224989E-2
1.315282125E0,-6.348084491E-2,-5.099111918E-2,1.021917880E-2
1.325211125E0,5.692308292E-1,3.937617347E-2,-8.184429610E-1
1.335140125E0,8.956611447E-2,1.114789937E-2,1.325491868E0
1.345069125E0,7.857707664E-3,-3.587924615E-3,-4.883588666E-1
1.354998125E0,1.238712536E-1,-1.710259415E-2,-5.628535634E-1
1.364927125E0,-3.281125960E-1,-5.947787762E-2,5.258178842E-1
1.374856125E0,-3.580430311E-1,-6.752974939E-2,5.365101027E-1
1.384785125E0,-6.548017605E-1,-5.451620450E-2,-5.967019254E-1
1.394714125E0,-6.813082854E-1,-1.045081807E-1,2.730152696E-1
1.404643125E0,-7.763014200E-1,-6.499039499E-2,2.735029274E-1
1.414572125E0,-4.660615329E-1,-6.935724182E-2,4.065335155E-2
1.424501125E0,-3.058817745E-1,-4.440832380E-2,-7.456954122E-2
1.434430125E0,-1.004150567E-1,-2.688337795E-2,3.330158883E-1
1.444359125E0,4.820674818E-2,-1.082266627E-2,9.914304972E-2
1.454288125E0,2.857936285E-1,-1.713394985E-2,-2.001022446E-1
1.464217125E0,4.260738504E-1,-1.019319523E-2,-7.917422354E-2
1.474147125E0,4.663500199E-1,1.847495394E-2,3.411674917E-2
1.484076125E0,4.157500429E-1,-8.483469374E-3,-2.524009109E-2
1.494005125E0,4.457763724E-1,-4.326501042E-3,-3.775868744E-1
1.503934125E0,3.916317402E-1,-1.269249620E-2,1.523784399E-3
1.513863125E0,3.794372623E-1,5.221691485E-3,3.660356998E-4
1.523792125E0,2.902784978E-1,-1.314317035E-2,-1.015947872E-1
1.533721125E0,2.058438815E-1,-1.139154553E-2,-8.372277260E-2
1.543650125E0,9.679009359E-2,-2.281446503E-2,1.035161823E-1
1.553579125E0,8.909073584E-3,-3.680677900E-2,9.409865677E-2
1.563508125E0,-1.275548716E-1,-4.759023238E-2,-9.091484785E-2
1.573437125E0,-2.601211541E-1,-6.193314174E-2,2.816311419E-2
1.583366125E0,-3.185330661E-1,-3.543557039E-2,1.025467139E-1
1.593295125E0,-4.434628484E-1,-6.452747824E-2,3.852753782E-1
1.603224125E0,-3.865438951E-1,-2.726134563E-2,-2.654466337E-1
1.613153125E0,-4.088830729E-1,-7.352129990E-2,2.208668768E-1
1.623082125E0,-3.174730390E-1,-4.105251538E-2,1.307805794E-1
1.633011125E0,-2.501953959E-1,-6.023132790E-2,4.108546078E-2
1.642940125E0,-1.097539189E-1,-3.070729254E-2,-1.059655809E-1
1.652869125E0,-2.592030499E-2,-3.130261218E-2,1.203450537E-1
1.662798125E0,9.716685528E-2,-2.893920416E-2,8.924020529E-2
1.672728125E0,2.102464877E-1,-1.626622304E-2,-2.005840552E-1
1.682657125E0,3.415653216E-1,-9.729657210E-3,-4.513641179E-2
1.692586125E0,3.338353025E-1,-6.718213242E-3,1.341058910E-2
1.702515125E0,3.203222410E-1,-1.538404265E-2,-1.134061629E-1
1.712444125E0,3.704741020E-1,-1.452068299E-2,6.810719848E-2
1.722373125E0,2.708498447E-1,-1.176289855E-2,1.682939762E-1
1.732302125E0,4.417246174E-2,-3.237985203E-2,-6.170449734E-2
1.742231125E0,-1.849919796E-1,-4.379255718E-2,-7.889589608E-2
1.752160125E0,-3.496618880E-1,-5.774545725E-2,2.099062711E-1
1.762089125E0,-4.194579451E-1,-5.262331462E-2,8.616807818E-2
1.772018125E0,-4.187600434E-1,-5.929113217E-2,-7.679031372E-2
1.781947125E0,-3.895366828E-1,-5.423488034E-2,1.073934710E-1
1.791876125E0,-3.381721824E-1,-4.518805001E-2,1.884961063E-1
1.801805125E0,-2.899079305E-1,-5.179311963E-2,7.577991486E-3
1.811734125E0,-2.350286504E-1,-4.160920685E-2,-1.859356105E-2
1.821662375E0,-1.471522351E-1,-3.463556165E-2,1.457991529E-1
1.831591375E0,-4.131363010E-2,-2.831373481E-2,8.958986878E-2
1.841520375E0,3.840302319E-2,-2.622710109E-2,-5.185310841E-3
1.851449375E0,3.491884097E-2,-2.824535893E-2,3.677313924E-3
1.861379375E0,-3.053518340E-2,-3.511795694E-2,5.657765865E-2
1.871308375E0,-1.771462770E-1,-3.778300820E-2,8.928113580E-2
1.881237375E0,-3.728531513E-1,-5.734181665E-2,1.067251343E-1
1.891166375E0,-4.699230707E-1,-5.679417009E-2,1.369347739E-1
1.901095375E0,-5.109682588E-1,-6.412316155E-2,1.860999173E-1
1.911024375E0,-4.921150083E-1,-6.310625765E-2,1.773425424E-1
1.920953375E0,-4.475299158E-1,-5.171103934E-2,9.875830293E-2
1.930882375E0,-3.756849944E-1,-6.008202290E-2,1.132705075E-1
1.940811375E0,-3.011323918E-1,-5.366808414E-2,1.983042258E-1
1.950740375E0,2.261876604E-2,-1.201010786E-2,4.810270429E-1
1.960669375E0,2.299011174E-1,5.020017363E-3,3.596043473E-1
1.970598375E0,8.069950629E-2,-5.619373413E-2,-1.192650729E-1
1.980527375E0,-1.475751715E-1,-1.780709593E-1,4.832080543E-2
1.990456375E0,-2.817196907E-1,-4.329896081E-2,5.706198353E-1
2.000385375E0,-6.158724605E-1,-1.192485911E-1,1.025478834E0
2.010314375E0,-1.153404072E0,-9.456705529E-2,1.489142570E0
2.020243375E0,-1.925498347E0,-5.294734173E-2,2.576297250E0
2.030172375E0,-1.551735698E0,-3.540258843E-2,3.784420881E0
2.040101375E0,1.659403257E-2,1.216520708E-1,4.052110507E0
2.050030375E0,1.316483063E0,2.910550446E-1,3.183401372E0
2.059960375E0,1.238769912E0,-4.007992242E-2,2.550147917E0
2.069889375E0,6.935300624E-1,-5.764287516E-1,1.942484801E0
2.079818375E0,9.503792426E-1,-2.555319121E-1,1.119052411E0
2.089747375E0,1.569421332E0,1.818615082E-1,3.137738711E-1
2.099676375E0,2.058443273E0,3.915001047E-1,2.684795845E-1
2.109605375E0,2.462539085E0,6.454201953E-1,-5.467959398E-1
2.119534375E0,2.977789296E0,9.762614311E-1,-1.521392303E0
2.129463375E0,2.595358880E0,9.377014558E-1,-2.916690570E0
2.139392375E0,1.685101478E0,6.259211198E-1,-4.337583269E0
2.149321375E0,1.209266177E0,2.795757360E-1,-4.918627521E0
2.159250375E0,1.216951173E0,7.908538241E-2,-4.972586796E0
2.169179375E0,1.294296387E0,-1.953928606E-1,-4.136142597E0
2.179108375E0,3.358160614E0,7.353651180E-2,-3.823917654E0
2.189037375E0,8.058165420E0,-1.820700711E-1,1.829731889E1
2.198966375E0,4.352977819E0,2.166363432E0,-7.676403633E0
2.208895375E0,-1.592898488E-2,1.670968903E0,4.678965354E-1
2.218824375E0,-1.588923551E0,-7.643641099E-1,3.117142478E0
2.228753375E0,-1.115110803E0,8.295858537E-1,-5.898160104E0
2.238682375E0,-1.785668324E0,2.762969098E-1,9.303785491E-1
2.248612375E0,-1.717811387E0,-4.731438998E-1,1.339405902E0
2.258541375E0,-1.579387912E0,-3.442608880E-1,-2.663373985E0
2.268470375E0,-1.426094967E0,-6.177327521E-1,8.047663236E-1
2.278399375E0,-1.131902252E0,-5.429269103E-1,-1.681489652E-1
2.288328375E0,-1.392522594E0,-1.845686046E-1,-1.904204542E0
2.298257375E0,-1.749160064E0,7.571179479E-2,-6.364717627E-1
2.308186375E0,-1.808149114E0,4.649050633E-1,-1.325902050E0
2.318115375E0,-1.716278831E0,7.383124984E-1,-1.808053220E0
2.328044375E0,-1.536610851E0,7.776315884E-1,-8.769051772E-1
2.337973375E0,-1.223745053E0,8.189010172E-1,-7.179784405E-1
2.347902375E0,-9.443229890E-1,7.002569917E-1,-2.129924315E-1
2.357831375E0,-5.349740392E-1,4.696835541E-1,2.664085738E-1
2.367760375E0,-3.417457813E-1,2.613296457E-1,1.217905219E-1
2.377689375E0,-3.350325930E-1,1.282893001E-1,3.053100081E-1
2.387618375E0,-2.969221956E-1,1.581807416E-1,-1.052275892E-2
2.397547375E0,-3.842018294E-1,1.692367301E-1,-2.744975388E-1
2.407476375E0,-5.807787877E-1,2.107200573E-1,-3.157977386E-1
2.417405375E0,-8.027010870E-1,3.346544974E-1,2.004109776E-1
2.427335375E0,-9.711500144E-1,5.027853363E-1,9.299388385E-1
2.437264375E0,-1.110428937E0,5.942387127E-1,1.861480106E0
2.447193375E0,-1.249768671E0,5.947770951E-1,2.773412737E0
2.457122375E0,-1.325897080E0,3.892859834E-1,3.170862018E0
2.467051375E0,-1.431602460E0,4.779945306E-2,3.266908675E0
2.476980375E0,-1.384077460E0,-1.803738121E-1,3.416086641E0
2.486909375E0,-1.196253199E0,-2.780380279E-1,3.738335759E0
2.496838375E0,-1.050411946E0,-3.281640150E-1,3.602271051E0
2.506767375E0,-5.187228727E-1,-2.815071809E-1,3.294461632E0
2.516696375E0,6.728034371E-1,-1.864669763E-1,3.315487635E0
2.526625375E0,8.843568689E-1,-2.735169607E-1,3.728157803E0
2.536554375E0,1.729987044E0,-4.301838217E-1,3.767780875E0
2.546483375E0,2.273543041E0,-7.029798207E-1,4.047471326E0
2.556412375E0,2.506893724E0,-9.313162963E-1,4.019766634E0
2.566341375E0,2.760910220E0,-9.967646927E-1,3.439153907E0
2.576270375E0,2.940374717E0,-8.639313751E-1,3.199237971E0
2.586199375E0,3.082888319E0,-6.051906938E-1,2.924759728E0
2.596128375E0,2.888729770E0,-3.482872807E-1,3.069467205E0
2.606058375E0,1.602732335E0,-4.686705606E-1,2.666610419E0
2.615987375E0,6.329090542E-1,-3.416159731E-1,1.431718819E0
2.625916375E0,1.676469233E0,-4.661589622E-1,7.085837191E-1
2.635845375E0,1.299756517E0,-8.517823228E-1,1.819372845E0
2.645774375E0,5.444225550E-1,-9.786354006E-1,6.854778618E-1
2.655703375E0,1.450148073E0,-9.666406417E-1,-6.115784115E-1
2.665632375E0,1.663832815E0,-1.202619355E0,-1.528690213E-1
2.675561375E0,1.707725524E0,-1.004686720E0,-8.710731643E-1
2.685490375E0,1.765280837E0,-7.901547164E-1,-1.335534461E0
2.695419375E0,1.241390780E0,-7.278312182E-1,-1.820527085E0
2.705348375E0,8.939691067E-1,-8.047309479E-1,-6.622147143E-1
2.715277375E0,-1.565059894E-1,-8.947333378E-1,-1.685120773E-1
2.725206375E0,-1.298628005E0,-9.543828312E-1,3.572455806E-1
2.735135375E0,-6.187377423E-1,-9.948037559E-1,3.712829912E-1
2.745064375E0,-7.586867559E-1,-9.579180577E-1,6.371927243E-1
2.754993375E0,-7.243016195E-1,-9.369750854E-1,4.724444997E-1
2.764922375E0,-6.226694101E-1,-8.897199351E-1,4.217403692E-1
2.774851375E0,-4.673553756E-1,-8.719173561E-1,9.642742735E-1
2.784780375E0,-4.681044039E-1,-7.708600742E-1,1.261615714E0
2.794710375E0,-3.782455632E-1,-5.845493282E-1,9.710868645E-1
2.804639375E0,-2.297303787E-1,-4.694914731E-1,8.959033656E-1
2.814568375E0,1.336960012E-1,-4.003737661E-1,6.514271861E-1
2.824498500E0,6.397125819E-1,-2.469601498E-1,2.376776218E-2
2.834427500E0,1.047219366E0,1.070270699E-2,-5.357967424E-1
2.844356500E0,-1.005092517E-1,5.567309439E-2,5.245069385E-1
2.854285500E0,-5.534199581E-1,2.672151972E-2,1.016653047E0
2.864214500E0,-3.636108595E-1,6.328845324E-2,1.111812973E0
2.874143500E0,-6.061273447E-1,2.260697111E-1,5.533617783E-1
2.884072500E0,-5.125720404E-1,4.401639590E-1,2.552748173E-1
2.894001500E0,-1.223385157E-1,4.759207791E-1,1.584314775E-1
2.903930500E0,7.448784100E-1,4.811686186E-1,2.066522956E-2
2.913859500E0,1.261112854E-1,3.832889329E-1,-4.093331623E-1
2.923788500E0,-7.149535297E-1,1.046415155E-1,-1.494735432E-1
2.933717500E0,6.774654222E-1,8.803111073E-3,1.741663349E-1
2.943646500E0,-5.814762875E-1,4.383569866E-2,1.204274994E-1
2.953575500E0,-8.250560157E-1,1.190086908E-1,-1.118163049E-1
2.963505500E0,1.350256946E-1,7.707468940E-2,-7.317088723E-2
2.973434500E0,-1.595130078E0,4.756703355E-1,-7.390534430E0
2.983363500E0,-9.357827212E0,1.004849126E0,-2.304485454E1
2.993292500E0,-4.563083772E0,-3.769380162E-1,4.568489231E0
3.003221500E0,-1.278267708E0,6.530827522E-1,5.577590598E0
3.013150500E0,-6.846570589E-1,9.724050462E-1,2.849593771E0
3.023079500E0,-8.600850036E-1,9.187787696E-1,2.068788752E0
3.033008500E0,-1.186531618E-2,8.392476466E-1,-1.433605131E0
3.042937500E0,-1.160873305E-2,6.501120742E-1,-4.813384071E0
3.052866500E0,3.331110883E-1,4.578681220E-1,-1.233705200E0
3.062795500E0,9.069177657E-1,2.006198877E-1,1.493644926E0
3.072724500E0,2.462093234E0,9.998086436E-2,1.754435422E0
3.082653500E0,-1.960397819E-1,-1.970963007E-2,1.068482766E0
3.092582500E0,4.384362895E-2,6.844920577E-2,-2.344832879E0
3.102511500E0,-1.547503922E0,-8.283900250E-2,2.434195876E-2
3.112440500E0,1.083235072E-1,3.447399577E-2,2.477114439E-1
3.122369500E0,-5.158849632E-1,-5.342363399E-2,6.590279818E-1
3.132298500E0,-1.657507297E-1,7.243603840E-3,-5.365773457E-1
3.142228500E0,5.195346124E-2,2.151347782E-2,-1.689377546E-2
3.152157500E0,1.915434192E-1,-1.199207285E-2,7.414854169E-1
3.162086500E0,2.147950185E-1,-1.744147684E-2,-8.563598156E-2
3.172015500E0,-5.126447652E-2,-4.161985975E-2,-9.433231151E-1
3.181944500E0,-2.504800640E-1,-5.374322087E-2,-1.410395193E-1
3.191873500E0,-1.539304006E-1,-3.562914977E-2,6.125467104E-1
3.201802500E0,-2.346574984E-1,-3.711344719E-2,4.038484740E-1
3.211731500E0,-1.864217700E-1,-6.863969710E-2,-1.077864039E-1
3.221660500E0,-8.741466802E-2,-6.960962227E-2,-2.883226955E-1
3.231589500E0,-2.984089963E-3,-6.132174226E-2,-3.956459999E-2
3.241518500E0,2.202843480E-2,-6.354768589E-2,5.495681047E-2
3.251447500E0,1.252813462E-2,-5.520352643E-2,-1.471919596E-1
3.261376500E0,-8.345566448E-2,-7.640867326E-2,8.310413718E-2
3.271305500E0,-1.434149141E-1,-8.031938246E-2,2.801389325E-1
3.281234500E0,-1.711919294E-1,-8.569109157E-2,-1.017298579E-1
3.291163500E0,-1.718041694E-1,-9.236082774E-2,-1.931083900E-1
3.301093500E0,-7.024567142E-2,-8.174995858E-2,5.006970763E-2
3.311022500E0,-4.548965670E-2,-5.992149856E-2,9.166387618E-2
3.320951500E0,-8.496040888E-3,-8.111467687E-2,1.027601373E-1
3.330880500E0,-3.284366414E-2,-8.163833158E-2,-6.710147738E-2
3.340809500E0,-9.239660539E-2,-7.618797742E-2,-8.966939092E-2
3.350738500E0,-1.430615230E-1,-7.399145259E-2,2.126983166E-2
3.360667500E0,-1.269859192E-1,-6.950221622E-2,3.113057613E-2
3.370596500E0,-8.485515900E-2,-6.408548355E-2,1.013439417E-2
3.380525500E0,-6.777270120E-2,-5.450902339E-2,8.945128977E-2
3.390454500E0,-3.837396070E-2,-5.621597182E-2,1.150732040E-3
3.400383500E0,-7.229343943E-2,-5.544123402E-2,-1.223225820E-1
3.410312500E0,-7.213128883E-2,-5.552139569E-2,-4.801148772E-3
3.420241500E0,-1.072130113E-1,2.288346035E-1,1.136283571E-1
3.430170500E0,-1.521692558E-1,9.686274525E-1,-9.254388213E-2
3.440099500E0,-2.997461814E-1,5.378192943E-1,-3.145802021E-1
3.450028500E0,-6.768495642E-2,1.370846088E-1,2.240565330E-1
3.459957500E0,-1.152382782E-1,2.403481914E-1,2.581639266E-1
3.469887500E0,-7.494730789E-2,3.938720278E-1,4.113048434E-2
3.479816500E0,7.693342432E-2,4.610641370E-1,-1.717619598E-1
3.489745500E0,1.844871456E-1,3.896594743E-1,-2.529751074E-1
3.499674500E0,3.335935932E-1,1.238796955E-1,5.751730621E-2
3.509603500E0,2.111546151E-1,-2.329889589E-1,-8.217659336E-1
3.519532500E0,1.897790219E-1,-1.297365225E-1,1.201464822E0
3.529461500E0,8.114466213E-2,-1.013677874E-1,-7.174369884E-1
3.539390500E0,2.941620905E-1,-9.381945223E-2,4.000080228E-2
3.549319500E0,2.654053012E-1,-2.278223774E-1,4.224519753E-1
3.559248500E0,5.800570951E-1,-2.485303647E-1,-4.663107705E-1
3.569177500E0,-4.473435358E-1,-4.669534526E-1,-5.453931928E-1
3.579106500E0,6.121124815E-2,-4.290292159E-1,-6.488023710E-1
3.589035500E0,-7.188360809E-1,-4.260742524E-1,3.735973191E-1
3.598964500E0,-5.636025552E-1,-3.747711842E-1,3.084178215E-1
3.608893500E0,-2.423126001E-1,-3.157038908E-1,4.156493247E-2
3.618822500E0,2.934914880E-2,-2.573670242E-1,-2.013593960E-1
3.628751500E0,3.584691835E-1,-1.697316238E-1,-3.338806915E-1
3.638681500E0,1.127800722E0,-5.596854324E-2,-4.244353509E-1
3.648610500E0,1.618466754E0,5.848568735E-2,-1.569872153E-1
3.658539500E0,1.804978462E0,6.081607687E-2,2.005723608E-1
3.668468500E0,1.766108365E0,4.718853780E-2,3.574549109E-1
3.678397500E0,1.512984738E0,-3.878991701E-2,4.776344883E-1
3.688326500E0,1.134687281E0,-8.543899435E-2,3.109093201E-1
3.698255500E0,7.065044492E-1,-1.952097331E-1,1.695306623E-1
3.708184500E0,3.573723555E-1,-2.398052226E-1,1.086482835E-1
3.718113500E0,2.083540181E-1,-2.576380975E-1,1.536928940E-1
3.728042500E0,2.265672543E-1,-2.679539746E-1,2.883887690E-1
3.737971500E0,2.915773288E-1,-2.793667528E-1,2.934776008E-1
3.747900500E0,2.802484947E-1,-3.691288769E-1,2.199582195E-1
3.757829500E0,2.624765771E-1,-4.556203792E-1,1.575766146E-1
3.767758500E0,1.689209439E-1,-4.540439699E-1,1.738657880E-1
3.777687500E0,8.178434752E-2,-4.027650946E-1,2.139262319E-1
