"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.486171250E-1,-6.315367126E-1,-2.686912537E-1,1.028615982E1
8.585461250E-1,-7.536827087E-1,-2.932402039E-1,9.882898407E0
8.684751250E-1,-7.023394775E-1,-3.053649902E-1,9.508826294E0
8.784041250E-1,-8.252339172E-1,-2.847079468E-1,9.941576385E0
8.883331250E-1,-6.577322388E-1,-2.863545227E-1,1.004995102E1
8.982621250E-1,-4.965174866E-1,-2.842588806E-1,9.788145447E0
9.081911250E-1,-4.098477173E-1,-2.736309814E-1,9.781409454E0
9.181201250E-1,-3.002755737E-1,-2.595602417E-1,9.862989807E0
9.280491250E-1,-2.441423035E-1,-2.333647156E-1,9.881102142E0
9.379781250E-1,-1.511856079E-1,-2.531236267E-1,9.763596497E0
9.479071250E-1,-9.280700684E-2,-2.613565063E-1,9.754914551E0
9.578361250E-1,-1.496887207E-2,-2.395019531E-1,9.779912567E0
9.677651250E-1,3.263214111E-2,-2.432441711E-1,9.850865021E0
9.776941250E-1,7.005432129E-2,-2.399510193E-1,9.752669220E0
9.876231250E-1,7.514373779E-2,-2.487826538E-1,9.719138947E0
9.975521250E-1,8.173004150E-2,-2.402503967E-1,9.754615173E0
1.007481125E0,5.164260864E-2,-2.445913696E-1,9.810449066E0
1.017410125E0,-1.347198486E-3,-2.424957275E-1,9.787097626E0
1.027339125E0,-6.840774536E-2,-2.477348328E-1,9.762997742E0
1.037268125E0,-1.423539734E-1,-2.504292297E-1,9.829908600E0
1.047197125E0,-2.134561157E-1,-2.552192688E-1,9.816137238E0
1.057127125E0,-2.787203979E-1,-2.520758057E-1,9.815239105E0
1.067056125E0,-3.617976379E-1,-2.673440552E-1,9.838291168E0
1.076985125E0,-4.153862000E-1,-2.673440552E-1,9.862091675E0
1.086914125E0,-4.694238281E-1,-2.698887634E-1,9.840087433E0
1.096843125E0,-5.037025452E-1,-2.739303589E-1,9.857301636E0
1.106772125E0,-5.188211060E-1,-2.764750671E-1,9.870474243E0
1.116701125E0,-5.114863586E-1,-2.757266235E-1,9.854756927E0
1.126630125E0,-4.968168640E-1,-2.695893860E-1,9.855505371E0
1.136559125E0,-4.601431274E-1,-2.728825378E-1,9.852511597E0
1.146488125E0,-4.146377563E-1,-2.633024597E-1,9.856104126E0
1.156417125E0,-3.484753418E-1,-2.628533936E-1,9.833201752E0
1.166346125E0,-2.954855347E-1,-2.668949890E-1,9.834848328E0
1.176275125E0,-2.378553772E-1,-2.588117981E-1,9.842931519E0
1.186204125E0,-1.901046753E-1,-2.474354553E-1,9.810449066E0
1.196133125E0,-1.401086426E-1,-2.492317200E-1,9.790989532E0
1.206062125E0,-1.074765015E-1,-2.504292297E-1,9.798024902E0
1.215991125E0,-8.397537231E-2,-2.526745605E-1,9.806557159E0
1.225920125E0,-5.912704468E-2,-2.532733154E-1,9.787097626E0
1.235849125E0,-6.795867920E-2,-2.490820312E-1,9.784403229E0
1.245778125E0,-7.858657837E-2,-2.477348328E-1,9.792336731E0
1.255707125E0,-1.035845947E-1,-2.466870117E-1,9.810149689E0
1.265637125E0,-1.408570862E-1,-2.492317200E-1,9.804910583E0
1.275566125E0,-1.857637024E-1,-2.490820312E-1,9.796827393E0
