"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.574083333E-1,1.401667127E-2,1.843979755E-2,-7.075715661E-3
8.673373333E-1,-1.165093533E-1,4.512577716E-2,6.346450925E-2
8.772673333E-1,-2.306974716E-1,1.114552394E-2,6.479650497E-2
8.871973333E-1,-2.069224735E-1,-1.851858879E-2,1.066999912E-2
8.971263333E-1,-1.592877109E-1,2.200851772E-2,1.097639322E-2
9.070563333E-1,-7.852686368E-2,4.578808397E-3,9.319877028E-3
9.169853333E-1,-1.138019828E-2,7.592244074E-3,2.562483788E-2
9.269153333E-1,3.114113767E-2,-5.331016146E-3,3.804666281E-2
9.368453333E-1,3.956310164E-2,-1.301734557E-2,-2.656565487E-2
9.467743333E-1,5.579444239E-2,7.784781922E-3,-5.593563437E-2
9.567043333E-1,1.908266054E-1,-6.599589681E-2,-2.700770438E-2
9.666333334E-1,2.109715972E-1,-1.367482843E-2,-2.214831734E-1
9.765633334E-1,2.278868612E-1,-6.173271015E-3,2.135531795E-1
9.864933334E-1,1.448088172E-1,8.515318427E-3,1.911998588E-1
9.964223334E-1,3.425474346E-2,1.533276988E-2,3.910617828E-2
1.006352750E0,-9.544859614E-2,1.453175616E-2,5.555205703E-2
1.016282750E0,-1.928225708E-1,1.068302745E-2,5.560877502E-2
1.026211750E0,-2.150119867E-1,8.402485438E-3,3.011725366E-2
1.036141750E0,-2.080248564E-1,-6.533569135E-3,7.906897366E-2
1.046070750E0,-1.050590798E-1,-1.926747093E-2,6.330137193E-2
1.056000750E0,-2.053578682E-3,-1.604024643E-2,4.992060363E-2
1.065930750E0,4.796361364E-2,-3.160328697E-3,1.037722903E-1
1.075859750E0,1.060083022E-1,-4.666808993E-5,4.317233205E-2
1.085789750E0,6.398366891E-2,3.832045868E-3,-1.964313626E-2
1.095718750E0,4.808128886E-3,7.674470544E-5,9.642584860E-2
1.105648750E0,-6.873438545E-2,-3.565010838E-3,4.871256888E-2
1.115578750E0,-1.502837845E-1,-4.421591386E-4,2.187326431E-2
1.125507750E0,-2.297125812E-1,5.506450888E-3,1.077840650E-1
1.135437750E0,-2.793285449E-1,-1.782907415E-3,-6.600453973E-2
1.145366750E0,-2.589443106E-1,-1.847281605E-3,5.047784328E-2
1.155296750E0,-2.154974153E-1,-9.538690802E-3,1.125226486E-1
1.165226750E0,-1.396581146E-1,-1.078898996E-2,1.928937972E-2
1.175155750E0,-6.501994170E-2,-9.930929337E-3,4.042589486E-2
1.185085750E0,1.413838472E-2,-2.034081873E-3,9.092420340E-2
1.195015750E0,6.701442696E-2,-5.114011355E-3,5.958780527E-2
1.204944750E0,9.619451813E-2,-1.271352790E-2,7.157752097E-2
1.214874750E0,1.095152977E-1,-7.501058573E-2,1.214899385E-1
1.224803750E0,1.166312495E-1,-3.283759765E-2,1.753638446E-1
1.234733750E0,1.078357763E-1,1.940429578E-2,-9.719007969E-2
1.244663750E0,9.688416068E-3,4.170369420E-2,-1.306934559E-1
1.254592750E0,-6.282756474E-2,-2.444848772E-2,1.472948706E-1
1.264522750E0,-1.630308974E-1,-1.662390819E-2,8.515650988E-2
1.274451750E0,-1.747665333E-1,2.287357673E-3,-7.059168041E-2
1.284381750E0,-1.825724383E-1,7.048690561E-3,9.984705448E-3
1.294311750E0,-9.762752451E-2,-2.226455268E-2,9.563705921E-2
1.304240750E0,-5.146103432E-2,5.228306148E-3,3.624338150E-2
1.314170750E0,3.282769393E-2,2.029451609E-2,-7.043029726E-2
1.324099750E0,6.537453879E-2,1.294977369E-2,-4.010722160E-2
1.334029750E0,1.165348618E-1,-1.457277803E-2,4.368688703E-2
1.343959750E0,1.394763210E-1,-6.978724971E-3,2.290178955E-2
1.353888750E0,1.641042452E-1,-4.178182762E-3,-6.650623083E-3
1.363818750E0,4.754863675E-1,-1.422819430E-2,-1.561428773E-1
1.373748750E0,1.580009397E-1,-5.853812043E-3,-9.795372605E-2
1.383677750E0,3.480812029E-1,2.230767589E-3,-1.463832897E-1
1.393607750E0,3.378076085E-1,-1.423955983E-2,1.983375549E-3
1.403536750E0,2.678405386E-1,-9.861913919E-3,1.151451248E-1
1.413466750E0,1.852065176E-1,-6.984663550E-3,-1.514896631E-2
1.423396750E0,1.027318149E-1,-5.206817631E-3,-5.496324241E-2
1.433325750E0,-3.209573217E-3,-1.126387523E-2,6.782887101E-2
1.443255750E0,-8.768426120E-2,-5.615446642E-3,9.527219296E-2
1.453184750E0,-1.651041008E-1,-9.333270807E-3,4.497327447E-2
1.463114750E0,-2.284241838E-1,3.961287607E-3,3.528970063E-2
1.473044750E0,-4.984397953E-1,3.781087384E-2,3.601884842E-3
1.482973750E0,-2.916594091E-1,-2.855270321E-2,3.576390982E-2
1.492903750E0,-4.120076787E-1,-1.339032484E-2,9.508742094E-2
1.502832750E0,-3.991882797E-1,-1.384730302E-3,8.939691067E-2
1.512762750E0,-2.687195030E-1,-2.511444904E-2,4.227887750E-2
1.522692750E0,-2.573046417E-1,1.701265667E-2,3.983766496E-2
1.532621750E0,-1.318419953E-1,-1.353941057E-3,6.249504089E-3
1.542551750E0,-5.530764341E-2,-1.272260936E-2,2.206797659E-2
1.552481750E0,1.413803754E-2,-6.061881557E-3,6.247399092E-2
1.562410750E0,6.105490822E-2,-1.602257688E-2,5.998307705E-2
1.572340750E0,1.051896189E-1,-1.005233215E-2,1.725513339E-3
1.582269750E0,1.541789438E-1,-7.602513246E-3,-7.809541225E-3
1.592199750E0,1.837211786E-1,-7.892224509E-3,4.740337729E-3
1.602129750E0,2.173519511E-1,-7.075898387E-3,-1.403331757E-4
1.612058750E0,2.249354060E-1,-4.104599208E-3,-8.531672359E-3
1.621988750E0,2.222926107E-1,-4.101913143E-3,-1.879470527E-2
1.631917750E0,2.238628622E-1,-9.346719403E-3,1.397776902E-2
1.641847750E0,1.894697408E-1,-4.994052071E-3,8.650955558E-3
1.651777750E0,1.493741770E-1,-6.896827407E-3,-4.543871284E-3
1.661706750E0,1.132578629E-1,-4.585952964E-3,1.090915024E-2
1.671636750E0,7.614019470E-2,-7.368971799E-3,1.787259936E-2
1.681565750E0,2.452128556E-2,-1.650541071E-3,2.784210205E-2
1.691495750E0,-3.230330832E-2,-7.700216565E-3,3.391911328E-2
1.701425750E0,-8.467605148E-2,-1.095212728E-2,3.907460332E-2
1.711354750E0,-1.229453836E-1,-5.134202521E-3,3.504704118E-2
1.721284750E0,-1.581354988E-1,-9.553582929E-3,3.528385341E-2
1.731214750E0,-1.949933861E-1,-3.175147735E-3,5.084972620E-2
1.741143750E0,-2.293887551E-1,-6.185623258E-4,5.462761223E-2
1.751073750E0,-2.385387705E-1,-4.183554891E-3,5.051000297E-2
1.761002750E0,-2.321267504E-1,-4.688480236E-3,4.074924588E-2
1.770932750E0,-2.234085153E-1,-3.463050015E-3,4.197306812E-2
1.780862750E0,-1.926306725E-1,1.720872112E-3,4.955866098E-2
1.790791750E0,-1.294875408E-1,-7.298604213E-3,4.561412930E-3
1.800721750E0,-6.274815224E-2,-7.702464089E-3,-1.663532853E-3
1.810650750E0,1.986014105E-2,-1.326596187E-2,6.130337834E-2
1.820580750E0,9.409523981E-2,-7.979311477E-3,4.919145584E-2
1.830510750E0,1.674123257E-1,-5.569783542E-3,-4.607196629E-2
1.840439750E0,2.087036633E-1,-5.383001547E-3,-1.640494823E-2
1.850369750E0,2.405744421E-1,-3.869705591E-3,5.361604393E-2
1.860298750E0,2.257603751E-1,-1.012836423E-2,4.872484803E-3
1.870228750E0,1.941097622E-1,-1.195130680E-2,-2.448813915E-2
1.880158750E0,1.447111505E-1,-5.450226255E-3,3.946636677E-2
1.890087750E0,1.042134628E-1,-1.180085063E-2,3.924651146E-3
1.900017750E0,5.942682412E-2,-7.301454730E-3,-2.619903445E-2
1.909946750E0,1.499207821E-2,-7.398902234E-3,6.164251685E-2
1.919876750E0,-6.231523901E-3,-1.052177221E-2,7.165353477E-2
1.929806750E0,-2.684387270E-2,-9.705756716E-3,-7.406083345E-3
1.939735750E0,-3.209953286E-2,-3.741633296E-3,2.384143710E-2
1.949665750E0,-5.784716226E-2,-3.704265933E-3,5.386455059E-2
1.959594750E0,-8.755014069E-2,-7.529368233E-3,2.263106346E-2
1.969524750E0,-1.040293486E-1,-1.066148411E-3,-1.044312716E-2
1.979454750E0,-1.480627928E-1,3.400101084E-3,6.281663775E-3
1.989383750E0,-1.255472849E-1,2.191024795E-3,-1.644412458E-2
