"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
7.581123333E-1,-2.916257328E-1,-2.564662606E-1,9.802309742E0
7.680413334E-1,-2.790691113E-1,-2.556763932E-1,9.802696243E0
7.779713334E-1,-2.670712277E-1,-2.551283811E-1,9.803044737E0
7.879003334E-1,-2.570759059E-1,-2.548553344E-1,9.803318971E0
7.978303334E-1,-2.504435737E-1,-2.555359686E-1,9.803472753E0
8.077603334E-1,-2.468752555E-1,-2.563228942E-1,9.803542920E0
8.176893333E-1,-2.463656341E-1,-2.569863705E-1,9.803538242E0
8.276193333E-1,-2.483168317E-1,-2.572652278E-1,9.803481524E0
8.375483333E-1,-2.528759240E-1,-2.571265575E-1,9.803368673E0
8.474783333E-1,-2.594054001E-1,-2.569417672E-1,9.803203197E0
8.574083333E-1,-2.668409205E-1,-2.568939296E-1,9.803004976E0
8.673373333E-1,-2.734297459E-1,-2.570849691E-1,9.802817865E0
8.772673333E-1,-2.777950943E-1,-2.575331217E-1,9.802683379E0
8.871973333E-1,-2.792664913E-1,-2.582558192E-1,9.802622568E0
8.971263333E-1,-2.788511746E-1,-2.589657626E-1,9.802616136E0
9.070563333E-1,-2.777322733E-1,-2.597980589E-1,9.802625492E0
9.169853333E-1,-2.766208821E-1,-2.605661455E-1,9.802636601E0
9.269153333E-1,-2.757324890E-1,-2.614142659E-1,9.802638940E0
9.368453333E-1,-2.765203465E-1,-2.625595892E-1,9.802586315E0
9.467743333E-1,-2.794293911E-1,-2.639021830E-1,9.802467617E0
9.567043333E-1,-2.846814333E-1,-2.652652421E-1,9.802279921E0
9.666333334E-1,-2.922525726E-1,-2.669915229E-1,9.802010365E0
9.765633334E-1,-3.019827962E-1,-2.686552385E-1,9.801670057E0
9.864933334E-1,-3.135079689E-1,-2.700214952E-1,9.801270107E0
9.964223334E-1,-3.259980601E-1,-2.711507936E-1,9.800831566E0
1.006352750E0,-3.377505250E-1,-2.722957149E-1,9.800401796E0
1.016282750E0,-3.469549195E-1,-2.735364027E-1,9.800045700E0
1.026211750E0,-3.530567084E-1,-2.748483900E-1,9.799791346E0
1.036141750E0,-3.564513094E-1,-2.759290286E-1,9.799638149E0
1.046070750E0,-3.583771995E-1,-2.769665073E-1,9.799538746E0
1.056000750E0,-3.603427776E-1,-2.776490053E-1,9.799446945E0
1.065930750E0,-3.630583707E-1,-2.781047958E-1,9.799334094E0
1.075859750E0,-3.675144972E-1,-2.783743341E-1,9.799160432E0
1.085789750E0,-3.727914997E-1,-2.785108484E-1,9.798956949E0
1.095718750E0,-3.782814870E-1,-2.784977652E-1,9.798747033E0
1.105648750E0,-3.830261736E-1,-2.785982460E-1,9.798559923E0
1.115578750E0,-3.856018356E-1,-2.787273050E-1,9.798455257E0
1.125507750E0,-3.853583721E-1,-2.786883479E-1,9.798465782E0
1.135437750E0,-3.813974683E-1,-2.788834439E-1,9.798615471E0
1.145366750E0,-3.740892527E-1,-2.791184654E-1,9.798890290E0
1.155296750E0,-3.639475860E-1,-2.793605219E-1,9.799265097E0
1.165226750E0,-3.520693329E-1,-2.796071282E-1,9.799691944E0
1.175155750E0,-3.398880843E-1,-2.800161044E-1,9.800110604E0
1.185085750E0,-3.281853208E-1,-2.801291749E-1,9.800506461E0
1.195015750E0,-3.177430341E-1,-2.798932946E-1,9.800857294E0
1.204944750E0,-3.092015677E-1,-2.794788549E-1,9.801142053E0
1.214874750E0,-3.020149742E-1,-2.791529092E-1,9.801375357E0
1.224803750E0,-2.967067805E-1,-2.791136597E-1,9.801538494E0
1.234733750E0,-2.927013281E-1,-2.791142262E-1,9.801658947E0
1.244663750E0,-2.882591070E-1,-2.794094010E-1,9.801782323E0
1.254592750E0,-2.834024280E-1,-2.797189562E-1,9.801915055E0
1.264522750E0,-2.773533189E-1,-2.799094475E-1,9.802082870E0
1.274451750E0,-2.692101941E-1,-2.801096233E-1,9.802303895E0
1.284381750E0,-2.597577314E-1,-2.800809171E-1,9.802560003E0
1.294311750E0,-2.492012414E-1,-2.802563519E-1,9.802828975E0
1.304240750E0,-2.381866402E-1,-2.805058635E-1,9.803095608E0
1.314170750E0,-2.275727013E-1,-2.807528901E-1,9.803340606E0
1.324099750E0,-2.182067226E-1,-2.807429133E-1,9.803554029E0
1.334029750E0,-2.106890306E-1,-2.801642948E-1,9.803734708E0
1.343959750E0,-2.054890469E-1,-2.795255047E-1,9.803863347E0
1.353888750E0,-2.027239168E-1,-2.793322177E-1,9.803926497E0
1.363818750E0,-2.039510281E-1,-2.800598306E-1,9.803880304E0
1.373748750E0,-2.085957091E-1,-2.805006924E-1,9.803769792E0
1.383677750E0,-2.184507708E-1,-2.806517881E-1,9.803551106E0
1.393607750E0,-2.325764013E-1,-2.806472017E-1,9.803226001E0
1.403536750E0,-2.506263357E-1,-2.806838930E-1,9.802780443E0
1.413466750E0,-2.708284658E-1,-2.805673506E-1,9.802246592E0
1.423396750E0,-2.920880283E-1,-2.802495728E-1,9.801644914E0
1.433325750E0,-3.132323458E-1,-2.800303570E-1,9.800998212E0
1.443255750E0,-3.329410440E-1,-2.799906507E-1,9.800349755E0
1.453184750E0,-3.501244759E-1,-2.798653376E-1,9.799754509E0
1.463114750E0,-3.637443953E-1,-2.798376181E-1,9.799259250E0
1.473044750E0,-3.730479001E-1,-2.797078099E-1,9.798913094E0
1.482973750E0,-3.761019740E-1,-2.801054389E-1,9.798785040E0
1.492903750E0,-3.732593501E-1,-2.802989269E-1,9.798887951E0
1.502832750E0,-3.651223282E-1,-2.804791308E-1,9.799189668E0
1.512762750E0,-3.539855751E-1,-2.802505412E-1,9.799604820E0
1.522692750E0,-3.399533173E-1,-2.803151164E-1,9.800099494E0
1.532621750E0,-3.247086029E-1,-2.806596270E-1,9.800607033E0
1.542551750E0,-3.091843915E-1,-2.808169719E-1,9.801104631E0
1.552481750E0,-2.940559453E-1,-2.810410665E-1,9.801563637E0
1.562410750E0,-2.801991771E-1,-2.814088929E-1,9.801958909E0
1.572340750E0,-2.682006175E-1,-2.816909480E-1,9.802286353E0
1.582269750E0,-2.586616708E-1,-2.817457839E-1,9.802541292E0
1.592199750E0,-2.518295282E-1,-2.819051022E-1,9.802714369E0
1.602129750E0,-2.481878275E-1,-2.819730213E-1,9.802805586E0
1.612058750E0,-2.476880916E-1,-2.821002348E-1,9.802814357E0
1.621988750E0,-2.504341085E-1,-2.819532138E-1,9.802748868E0
1.631917750E0,-2.560459372E-1,-2.817978606E-1,9.802608535E0
1.641847750E0,-2.641644124E-1,-2.816598663E-1,9.802396865E0
1.651777750E0,-2.743642588E-1,-2.815533374E-1,9.802119707E0
1.661706750E0,-2.861483353E-1,-2.814692106E-1,9.801785247E0
1.671636750E0,-2.988770111E-1,-2.813805522E-1,9.801408101E0
1.681565750E0,-3.116242519E-1,-2.811114523E-1,9.801018677E0
1.691495750E0,-3.238061582E-1,-2.808996370E-1,9.800629837E0
1.701425750E0,-3.349014327E-1,-2.806415007E-1,9.800264386E0
1.711354750E0,-3.440834250E-1,-2.804718949E-1,9.799950975E0
1.721284750E0,-3.509558403E-1,-2.802437804E-1,9.799714163E0
1.731214750E0,-3.551126259E-1,-2.801855823E-1,9.799565644E0
1.741143750E0,-3.561934837E-1,-2.800477890E-1,9.799530560E0
1.751073750E0,-3.540788747E-1,-2.800753440E-1,9.799606574E0
1.761002750E0,-3.489648999E-1,-2.801691735E-1,9.799787253E0
1.770932750E0,-3.410676505E-1,-2.803467462E-1,9.800060318E0
1.780862750E0,-3.308307838E-1,-2.804412518E-1,9.800408227E0
1.790791750E0,-3.189798664E-1,-2.805528057E-1,9.800798237E0
1.800721750E0,-3.065339217E-1,-2.808973894E-1,9.801185322E0
1.810650750E0,-2.948383027E-1,-2.811717152E-1,9.801536155E0
1.820580750E0,-2.849483587E-1,-2.813689856E-1,9.801823254E0
1.830510750E0,-2.774335171E-1,-2.815331462E-1,9.802033753E0
1.840439750E0,-2.729201062E-1,-2.817199648E-1,9.802155375E0
1.850369750E0,-2.717096777E-1,-2.817363735E-1,9.802188705E0
1.860298750E0,-2.738104544E-1,-2.816149524E-1,9.802133741E0
1.870228750E0,-2.785342007E-1,-2.814385675E-1,9.802005687E0
1.880158750E0,-2.851191705E-1,-2.813533626E-1,9.801818576E0
1.890087750E0,-2.931206100E-1,-2.812896280E-1,9.801584103E0
1.900017750E0,-3.017728629E-1,-2.812983805E-1,9.801321563E0
1.909946750E0,-3.106273016E-1,-2.812009330E-1,9.801047913E0
1.919876750E0,-3.194911323E-1,-2.810718375E-1,9.800766662E0
1.929806750E0,-3.277687066E-1,-2.811394276E-1,9.800491258E0
1.939735750E0,-3.355359652E-1,-2.811159839E-1,9.800229303E0
1.949665750E0,-3.424205134E-1,-2.810036626E-1,9.799994245E0
1.959594750E0,-3.481937253E-1,-2.809208148E-1,9.799793100E0
1.969524750E0,-3.526709383E-1,-2.807977127E-1,9.799636395E0
1.979454750E0,-3.554900637E-1,-2.810726780E-1,9.799527052E0
1.989383750E0,-3.560013296E-1,-2.813604889E-1,9.799500155E0
1.999313750E0,-3.543424380E-1,-2.820162724E-1,9.799541085E0
2.009243833E0,-3.507924472E-1,-2.827774520E-1,9.799646920E0
2.019172833E0,-3.459976573E-1,-2.834221623E-1,9.799798948E0
2.029102833E0,-3.408384762E-1,-2.839268501E-1,9.799965008E0
2.039031833E0,-3.352220428E-1,-2.844345894E-1,9.800143933E0
2.048961833E0,-3.289682995E-1,-2.847647013E-1,9.800346247E0
2.058891833E0,-3.219467071E-1,-2.851155708E-1,9.800569611E0
2.068820833E0,-3.143654997E-1,-2.853796822E-1,9.800807592E0
2.078750833E0,-3.072810497E-1,-2.857504871E-1,9.801021600E0
2.088679833E0,-3.009328190E-1,-2.858269942E-1,9.801216313E0
2.098609833E0,-2.960463923E-1,-2.858663350E-1,9.801364247E0
2.108539833E0,-2.930273652E-1,-2.860132098E-1,9.801450201E0
2.118468833E0,-2.919055769E-1,-2.861423967E-1,9.801480022E0
2.128398833E0,-2.928180532E-1,-2.864477492E-1,9.801443769E0
2.138327833E0,-2.959763171E-1,-2.867210152E-1,9.801341443E0
2.148257833E0,-3.008812905E-1,-2.869347310E-1,9.801185322E0
2.158187833E0,-3.068614024E-1,-2.869100447E-1,9.801001135E0
2.168116833E0,-3.135536868E-1,-2.867934476E-1,9.800792390E0
2.178046833E0,-3.203182941E-1,-2.865991008E-1,9.800579551E0
2.187976833E0,-3.269033918E-1,-2.864506363E-1,9.800366127E0
2.197905833E0,-3.333056179E-1,-2.862060217E-1,9.800157967E0
2.207835833E0,-3.393928983E-1,-2.862554307E-1,9.799947467E0
2.217764833E0,-3.452248381E-1,-2.863486572E-1,9.799741060E0
2.227694833E0,-3.506677553E-1,-2.863818584E-1,9.799546933E0
2.237624833E0,-3.561488622E-1,-2.865501303E-1,9.799344034E0
2.247553833E0,-3.617852492E-1,-2.864936316E-1,9.799139382E0
2.257483833E0,-3.673833734E-1,-2.864858292E-1,9.798931221E0
2.267412833E0,-3.735611029E-1,-2.864036576E-1,9.798700256E0
2.277342833E0,-3.806220909E-1,-2.863554181E-1,9.798430114E0
2.287272833E0,-3.891331153E-1,-2.864026526E-1,9.798093899E0
2.297201833E0,-3.994720889E-1,-2.864203770E-1,9.797677578E0
2.307131833E0,-4.114401699E-1,-2.865199258E-1,9.797179395E0
2.317060833E0,-4.246281994E-1,-2.866873572E-1,9.796611630E0
2.326990833E0,-4.380014028E-1,-2.866445081E-1,9.796023985E0
2.336920833E0,-4.511308140E-1,-2.866193102E-1,9.795429323E0
2.346849833E0,-4.633105276E-1,-2.866201690E-1,9.794860389E0
2.356779833E0,-4.742226380E-1,-2.862840638E-1,9.794348173E0
2.366708833E0,-4.840768044E-1,-2.857509804E-1,9.793881565E0
2.376638833E0,-4.928225945E-1,-2.853097166E-1,9.793458227E0
2.386568833E0,-5.005254605E-1,-2.846605661E-1,9.793086344E0
2.396497833E0,-5.071841601E-1,-2.841918021E-1,9.792757730E0
2.406427833E0,-5.127825036E-1,-2.839529616E-1,9.792472971E0
2.416356833E0,-5.177045801E-1,-2.838729644E-1,9.792216278E0
