"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.581123333E-1,1.095975190E-2,-1.300763041E-1,-7.906821556E-4
7.680413334E-1,8.247323334E-3,-1.282136887E-1,-4.216839094E-3
7.779713334E-1,1.186978538E-3,-1.159175411E-1,-9.448480792E-3
7.879003334E-1,3.109514713E-3,-8.624246716E-2,-7.653243840E-3
7.978303334E-1,-8.899115957E-3,-5.361201242E-2,-9.232239798E-3
8.077603334E-1,-9.496995248E-3,-1.962208562E-2,-5.059065763E-3
8.176893333E-1,-4.115694202E-3,1.051427238E-2,-9.794726968E-3
8.276193333E-1,-9.591877460E-5,3.230905160E-2,-1.415006071E-2
8.375483333E-1,3.654536325E-3,5.957677215E-2,-1.716423966E-2
8.474783333E-1,2.291784622E-4,7.465159148E-2,-1.177985966E-2
8.574083333E-1,1.472551841E-3,7.618995756E-2,-6.502137519E-3
8.673373333E-1,-3.670012113E-3,5.852307752E-2,-3.485574387E-3
8.772673333E-1,-7.390998304E-3,2.861980349E-2,-4.293463193E-3
8.871973333E-1,-9.857351892E-3,4.504079465E-3,-3.681468777E-3
8.971263333E-1,-7.391203195E-3,-7.558024954E-3,-3.805194050E-3
9.070563333E-1,-8.849017322E-3,-1.445987355E-2,-6.888868287E-3
9.169853333E-1,-7.339848205E-3,-8.682056330E-3,-7.250485010E-3
9.269153333E-1,-1.010048017E-2,-5.031394772E-3,-6.122103892E-3
9.368453333E-1,-1.423335914E-2,1.775391400E-2,-1.654833090E-3
9.467743333E-1,-1.411724463E-2,3.888450190E-2,-2.366163302E-3
9.567043333E-1,-1.812141947E-2,6.025579199E-2,-6.546399090E-3
9.666333334E-1,-1.938934997E-2,8.708873391E-2,-5.389255937E-3
9.765633334E-1,-1.247231476E-2,1.092576683E-1,-4.575852770E-3
9.864933334E-1,-1.399830543E-2,1.250819117E-1,-2.171817236E-3
9.964223334E-1,-9.720094502E-3,1.286876053E-1,6.699408405E-4
1.006352750E0,-1.258405764E-2,1.107115373E-1,6.114241201E-3
1.016282750E0,-1.312758680E-2,7.846860588E-2,3.038801253E-3
1.026211750E0,-1.157283317E-2,4.694529623E-2,-2.098702826E-3
1.036141750E0,-1.159898937E-2,2.389549091E-2,-7.805689238E-4
1.046070750E0,-9.450351819E-3,1.910952479E-2,-2.529999241E-3
1.056000750E0,-5.681025796E-3,2.306107618E-2,6.273018662E-4
1.065930750E0,-3.062605858E-3,4.210720211E-2,5.759028718E-4
1.075859750E0,-3.220658749E-3,5.067963898E-2,4.353014752E-3
1.085789750E0,4.997774959E-4,5.696016923E-2,5.925078876E-3
1.095718750E0,-1.365741016E-3,5.414409935E-2,7.362345234E-3
1.105648750E0,4.372191615E-4,4.005890712E-2,5.750333890E-3
1.115578750E0,4.257415421E-4,1.546039805E-2,5.438785534E-3
1.125507750E0,-4.453784786E-4,-2.318100445E-2,2.645300701E-4
1.135437750E0,-2.661075676E-3,-5.771085247E-2,1.407327829E-3
1.145366750E0,-4.548191559E-3,-9.211836010E-2,-1.814298332E-3
1.155296750E0,-2.854368649E-3,-1.149164587E-1,-4.938683473E-3
1.165226750E0,-5.200613290E-3,-1.251965165E-1,-5.157595500E-3
1.175155750E0,-2.788545098E-3,-1.222650111E-1,-2.398602664E-3
1.185085750E0,3.238911740E-4,-1.145599484E-1,-1.925359014E-3
1.195015750E0,3.021236975E-3,-9.953725338E-2,1.747399569E-3
1.204944750E0,5.907304119E-3,-7.878296822E-2,-3.873906098E-4
1.214874750E0,8.684862405E-5,-6.361123174E-2,4.277430475E-3
1.224803750E0,4.128194414E-4,-4.742906988E-2,1.339697512E-3
1.234733750E0,-4.846053198E-4,-4.107914492E-2,3.674868494E-4
1.244663750E0,-3.084116615E-3,-4.455483705E-2,4.668226466E-4
1.254592750E0,-3.941789735E-3,-5.600296706E-2,2.315465827E-3
1.264522750E0,-2.905021189E-3,-7.207221538E-2,-2.715289593E-4
1.274451750E0,9.016576223E-4,-8.944366127E-2,1.013488742E-3
1.284381750E0,2.203144133E-3,-1.030691937E-1,-1.114304177E-4
1.294311750E0,-2.316558966E-3,-1.129840314E-1,2.650232520E-3
1.304240750E0,-2.761040581E-3,-1.119576544E-1,-1.596976537E-3
1.314170750E0,-1.515117474E-3,-1.063369736E-1,2.376674674E-4
1.324099750E0,4.530258011E-3,-8.651613444E-2,1.955672633E-3
1.334029750E0,6.310113706E-3,-6.492628902E-2,4.244595766E-3
1.343959750E0,5.651780404E-3,-3.847045079E-2,7.299774326E-3
1.353888750E0,-1.685102470E-4,-1.537240576E-2,5.847226828E-3
1.363818750E0,1.376389526E-3,1.193458308E-2,-8.745915256E-4
1.373748750E0,-7.316539064E-3,7.770368457E-2,2.492109779E-3
1.383677750E0,1.478017773E-3,1.276882887E-1,5.465528928E-3
1.393607750E0,3.452944104E-3,1.687099040E-1,4.124880303E-3
1.403536750E0,7.839244790E-4,2.015645206E-1,5.256457254E-3
1.413466750E0,-3.819954582E-4,2.141990662E-1,5.925611593E-3
1.423396750E0,7.360346150E-3,2.211190313E-1,8.693434298E-3
1.433325750E0,-3.591571003E-4,2.109400183E-1,8.051143959E-3
1.443255750E0,1.674699131E-3,1.917711198E-1,6.186930928E-3
1.453184750E0,1.373111270E-3,1.600847989E-1,6.586167030E-3
1.463114750E0,-2.376619494E-3,1.163546219E-1,9.787286632E-3
1.473044750E0,1.762199216E-3,6.851599365E-2,1.171275228E-2
1.482973750E0,-4.281844944E-3,-9.371342137E-3,8.166951593E-4
1.492903750E0,-1.901022624E-3,-5.997424200E-2,-8.506695740E-4
1.502832750E0,-2.933264012E-3,-1.026756316E-1,-3.171081655E-3
1.512762750E0,7.545412518E-4,-1.346399337E-1,-7.188680116E-3
1.522692750E0,-2.449507825E-3,-1.510575265E-1,-2.624288201E-3
1.532621750E0,2.558282577E-4,-1.585124433E-1,-7.563393563E-3
1.542551750E0,-1.505054068E-3,-1.580874026E-1,-4.745769314E-3
1.552481750E0,-4.822444636E-3,-1.506294459E-1,-5.400476046E-3
1.562410750E0,-3.025609767E-3,-1.329556406E-1,-5.293416791E-3
1.572340750E0,-2.769008046E-3,-1.114002988E-1,-4.240984563E-3
1.582269750E0,-4.773577675E-4,-8.472900838E-2,-5.128349643E-3
1.592199750E0,-1.646467950E-3,-5.653095618E-2,-2.336141188E-3
1.602129750E0,-5.569686182E-4,-2.323531359E-2,-6.553018466E-5
1.612058750E0,-2.073124051E-3,1.226198673E-2,-1.334676985E-3
1.621988750E0,4.527787212E-3,4.491154477E-2,9.479185101E-4
1.631917750E0,2.414602321E-3,7.175692171E-2,2.111330163E-3
1.641847750E0,1.185819972E-3,9.367553890E-2,1.097198576E-3
1.651777750E0,2.682779450E-3,1.144852340E-1,4.259882029E-3
1.661706750E0,-7.756012492E-4,1.256848872E-1,3.838836215E-3
1.671636750E0,1.935540233E-3,1.331906617E-1,2.671530470E-3
1.681565750E0,4.273923114E-4,1.288579702E-1,2.481913194E-3
1.691495750E0,3.368522506E-3,1.204829812E-1,3.143239068E-3
1.701425750E0,1.277408097E-3,1.057439819E-1,3.988259938E-3
1.711354750E0,2.560051624E-3,8.486733586E-2,1.073633786E-3
1.721284750E0,2.004782669E-3,5.657364428E-2,2.339966828E-3
1.731214750E0,2.095692325E-3,2.761929855E-2,4.637627862E-4
1.741143750E0,-5.530877970E-4,-6.016426720E-3,5.576666445E-5
1.751073750E0,1.508718822E-3,-3.918553516E-2,-7.153879851E-4
1.761002750E0,-3.045286518E-3,-6.840014458E-2,-3.089862410E-3
1.770932750E0,-1.384963281E-3,-9.414754808E-2,-3.565074410E-3
1.780862750E0,2.938932739E-4,-1.159607023E-1,-5.337940063E-3
1.790791750E0,-2.179087372E-3,-1.273324490E-1,-3.535723314E-3
1.800721750E0,-3.735971171E-3,-1.253662407E-1,-4.803121090E-3
1.810650750E0,-7.864460349E-4,-1.120929271E-1,-2.394544426E-3
1.820580750E0,-1.251433743E-3,-9.191948175E-2,-3.143159207E-3
1.830510750E0,-1.475350000E-3,-6.192149222E-2,6.194789894E-4
1.840439750E0,-1.700120745E-3,-2.939097956E-2,-2.896692604E-3
1.850369750E0,1.258861739E-3,5.124509800E-3,2.667591907E-3
1.860298750E0,3.814964090E-3,3.597297147E-2,1.543205464E-3
1.870228750E0,7.990859449E-4,5.938450247E-2,-3.946600482E-4
1.880158750E0,7.463553920E-4,7.597679645E-2,2.720705699E-3
1.890087750E0,1.565766055E-3,8.649131656E-2,1.402484719E-3
1.900017750E0,7.021031342E-4,9.169539809E-2,4.952212330E-3
1.909946750E0,1.284664031E-3,9.046263993E-2,2.339700470E-3
1.919876750E0,-1.618714305E-3,8.764341474E-2,1.696014544E-3
1.929806750E0,-6.199982017E-4,8.351545036E-2,1.615110785E-3
1.939735750E0,1.025568694E-3,7.564847171E-2,2.866796451E-3
1.949665750E0,1.811638009E-3,6.625755876E-2,2.322452841E-3
1.959594750E0,5.415766500E-4,5.363391712E-2,-1.563898288E-3
1.969524750E0,2.787729725E-3,3.896939754E-2,1.415338367E-3
1.979454750E0,-5.958091002E-3,1.948197931E-2,8.709882386E-4
1.989383750E0,-5.445463583E-3,-8.743208833E-3,-2.384516411E-3
1.999313750E0,-7.716873661E-3,-2.649450861E-2,-5.210130010E-3
2.009243833E0,-5.935424007E-3,-4.599695280E-2,-1.646708697E-3
2.019172833E0,-7.210012525E-3,-5.147054791E-2,-3.009448294E-3
2.029102833E0,-5.603069440E-3,-5.450973287E-2,-3.428706434E-3
2.039031833E0,-4.092524759E-3,-5.949996412E-2,2.753555775E-3
2.048961833E0,-3.730273573E-3,-6.729888171E-2,-2.884631976E-4
2.058891833E0,-3.498844802E-3,-7.765831053E-2,4.453294910E-3
2.068820833E0,-1.197171165E-3,-7.520801574E-2,1.885482110E-3
2.078750833E0,-1.956438413E-3,-7.188492268E-2,1.954457955E-3
2.088679833E0,1.993383747E-3,-5.732293427E-2,6.752598565E-4
2.098609833E0,2.122614533E-4,-4.133198410E-2,1.766623231E-3
2.108539833E0,-1.955006737E-3,-1.985655166E-2,3.586262465E-3
2.118468833E0,-2.159271156E-3,-9.228078998E-4,3.111154540E-3
2.128398833E0,-3.524738830E-3,1.958127134E-2,9.125124197E-4
2.138327833E0,-3.097834066E-3,4.073395953E-2,4.320825916E-3
2.148257833E0,-1.154346392E-3,5.648087710E-2,4.084953107E-3
2.158187833E0,-8.934829384E-5,6.669250876E-2,6.491651759E-3
2.168116833E0,1.521175262E-3,7.150431722E-2,7.275397889E-3
2.178046833E0,1.768050250E-3,6.867870688E-2,7.152626291E-3
2.187976833E0,-3.903470933E-4,6.633096188E-2,4.768474959E-3
2.197905833E0,5.449550226E-4,6.494212151E-2,6.458783522E-3
2.207835833E0,-3.900062293E-4,5.946971476E-2,3.961551469E-3
2.217764833E0,-2.630789997E-3,5.838847160E-2,2.915994730E-3
2.227694833E0,2.907281741E-4,5.479980260E-2,2.222633921E-4
2.237624833E0,9.378762916E-4,5.870452896E-2,8.124199230E-4
2.247553833E0,-5.108704790E-4,5.861687660E-2,3.490661969E-3
2.257483833E0,1.391691621E-3,5.896095559E-2,-2.657268196E-4
2.267412833E0,2.406759188E-3,6.594616175E-2,-1.837664284E-3
2.277342833E0,4.956745543E-4,7.852054387E-2,-2.586544957E-3
2.287272833E0,-3.693643957E-4,9.431850910E-2,-3.126327880E-3
2.297201833E0,-5.922708660E-4,1.141886190E-1,-6.180973258E-3
2.307131833E0,-1.894329675E-3,1.312257349E-1,-3.856697120E-3
2.317060833E0,-9.883223101E-4,1.393630207E-1,3.963708878E-4
2.326990833E0,2.831616439E-4,1.357715726E-1,-1.250896137E-3
2.336920833E0,-1.280646306E-3,1.325427592E-1,-4.160931800E-3
2.346849833E0,3.342125565E-3,1.192918122E-1,-8.944638073E-3
2.356779833E0,6.259618327E-3,1.070796251E-1,-1.218677126E-2
2.366708833E0,5.064244382E-3,9.543790668E-2,-1.550349966E-2
2.376638833E0,8.906386793E-3,8.546729386E-2,-1.769394986E-2
2.386568833E0,5.817948841E-3,7.459595054E-2,-2.097277716E-2
2.396497833E0,7.000125945E-3,6.592629850E-2,-2.341702767E-2
2.406427833E0,1.700714231E-3,5.350341648E-2,-2.217103168E-2
2.416356833E0,1.163554844E-3,5.003225058E-2,-1.489261352E-2
2.426286833E0,4.574768245E-4,4.642834514E-2,-1.564843394E-2
2.436216833E0,2.282541245E-3,4.582380503E-2,-1.402070932E-2
2.446145833E0,2.700731624E-3,4.503323138E-2,-1.426890120E-2
2.456075833E0,5.298911594E-3,4.368274286E-2,-1.211253926E-2
2.466004833E0,3.585678525E-3,3.995516151E-2,-1.591870934E-2
2.475934833E0,3.158241510E-3,3.692954406E-2,-1.754723117E-2
2.485864833E0,1.160445157E-3,3.370103240E-2,-1.883791015E-2
2.495793833E0,4.776218906E-3,3.452687711E-2,-2.223636955E-2
2.505723833E0,3.837656230E-3,3.682105988E-2,-1.678933948E-2
2.515653833E0,-5.222046748E-4,3.597977012E-2,-2.117449977E-2
2.525582833E0,2.956020180E-3,3.418959677E-2,-1.790933684E-2
2.535512833E0,4.782415461E-3,2.727150545E-2,-1.538971998E-2
2.545441833E0,6.494767033E-3,1.847759634E-2,-2.067327872E-2
2.555371833E0,3.042777069E-3,2.022143267E-2,-2.187542990E-2
2.565301833E0,8.560121059E-4,2.349987626E-2,-3.020841815E-2
2.575230833E0,2.082664520E-3,3.934248537E-2,-2.177898027E-2
2.585160833E0,-6.126249209E-4,4.687451199E-2,-2.035206556E-2
2.595089833E0,4.853960127E-4,5.305677652E-2,-1.553653739E-2
2.605019833E0,-2.113124589E-3,4.505439103E-2,-1.252824441E-2
2.614949833E0,-2.760272706E-3,3.201369196E-2,-1.250241138E-2
2.624878833E0,7.071513683E-4,1.212736592E-2,-1.038616616E-2
2.634808833E0,1.017942093E-3,-1.181099005E-2,-1.393589284E-2
2.644737833E0,-9.511564858E-4,-3.069715202E-2,-1.941299252E-2
2.654667833E0,2.467011102E-3,-3.671243787E-2,-2.128546126E-2
2.664597833E0,1.092234626E-3,-3.081955574E-2,-2.223331481E-2
2.674526833E0,3.119699191E-3,-1.949526183E-2,-1.588620245E-2
2.684456833E0,-3.043963574E-3,-3.413674189E-3,-1.494979300E-2
2.694385833E0,-1.943811774E-3,1.100840792E-2,-1.127463207E-2
2.704315833E0,-1.839874545E-3,2.025741898E-2,-5.124579649E-3
2.714245833E0,1.382017508E-3,2.366626635E-2,-6.922212895E-3
2.724174833E0,-2.355650067E-4,1.811885647E-2,-8.636776358E-3
2.734104833E0,1.525583677E-3,8.111495525E-3,-7.680168841E-3
2.744033833E0,1.233536750E-6,-4.038468469E-3,-1.086295582E-2
2.753963833E0,-1.992675243E-3,-1.725200936E-2,-7.236529607E-3
2.763893833E0,1.252098940E-3,-2.450268529E-2,-5.456450861E-3
2.773822833E0,-7.300921716E-4,-2.721618116E-2,-2.845754381E-3
2.783752833E0,-1.225514337E-3,-2.879928052E-2,-3.960568458E-3
2.793681833E0,2.184929792E-3,-2.564902790E-2,9.702425450E-5
2.803611833E0,1.127589960E-3,-2.034920268E-2,-5.645220168E-3
2.813541833E0,-9.307675064E-4,-1.919259317E-2,-7.145112380E-3
2.823470833E0,-7.582162507E-4,-1.344011910E-2,-1.018056273E-2
2.833400833E0,-2.128945431E-3,-1.323372498E-2,-1.329406444E-2
2.843329833E0,-2.478277311E-3,-2.038872056E-2,-1.159841567E-2
2.853259833E0,-3.284948645E-3,-2.898593806E-2,-9.697984904E-3
2.863189833E0,-4.699214827E-3,-4.024633020E-2,-1.205359865E-2
2.873118833E0,-4.807072692E-3,-4.954528809E-2,-9.620801546E-3
2.883048833E0,-2.486789599E-4,-6.707340479E-2,-9.737931192E-3
2.892977833E0,-1.711286837E-3,-7.516968250E-2,-8.971473202E-3
2.902907833E0,-1.153693069E-3,-8.536838740E-2,-9.142374620E-3
2.912837833E0,-3.458925290E-3,-9.302365035E-2,-1.820279751E-3
2.922766833E0,-6.069847383E-3,-8.996507525E-2,-4.584686831E-4
2.932696833E0,-3.171529155E-3,-8.183630556E-2,8.483442944E-4
2.942626833E0,4.970836453E-4,-6.641604006E-2,1.103900606E-3
2.952555833E0,9.980238974E-4,-6.723495573E-2,-5.661859643E-3
2.962485833E0,-1.327055506E-4,-6.698816270E-2,-1.444502175E-2
2.972414833E0,-6.570820697E-4,-6.978607923E-2,-1.684399694E-2
2.982344833E0,-2.724310383E-3,-7.685820758E-2,-9.717199951E-3
2.992274833E0,-4.150166642E-3,-6.353521347E-2,-1.831580885E-3
3.002203833E0,1.035775524E-3,-3.363132104E-2,-1.389552373E-3
3.012133583E0,3.522635903E-3,-3.734409111E-3,3.545517102E-4
3.022062583E0,1.203437336E-3,2.903682366E-2,-5.250619724E-4
3.031992583E0,-1.598345116E-4,6.400866061E-2,2.002810594E-3
3.041922583E0,1.693310216E-3,8.720481396E-2,7.670788094E-3
3.051851583E0,2.138058189E-3,1.056730375E-1,8.891314268E-3
3.061781583E0,-7.934225723E-4,1.186993793E-1,1.066449657E-2
3.071710583E0,4.458863288E-3,1.260185391E-1,6.055363920E-3
3.081640583E0,4.737303127E-3,1.254574060E-1,7.952816784E-3
3.091570583E0,4.678447265E-3,1.148833185E-1,6.899536587E-3
3.101499583E0,4.752059001E-3,1.064762846E-1,5.177960265E-3
3.111429583E0,3.637525719E-3,1.002604663E-1,5.811526440E-3
3.121358583E0,6.056131795E-3,1.140299812E-1,5.418076180E-3
3.131288583E0,6.141618825E-3,1.336385757E-1,6.796528585E-3
3.141218583E0,1.660160255E-3,1.678485125E-1,1.117492560E-2
3.151147583E0,3.217842896E-3,1.924603879E-1,8.153568953E-3
3.161077583E0,3.392630722E-3,2.107660025E-1,1.527628489E-2
3.171006583E0,5.646995734E-3,2.329589128E-1,2.012510411E-2
3.180936583E0,-2.022008412E-4,2.416942716E-1,2.151261643E-2
3.190866583E0,1.995173283E-3,2.349687368E-1,2.228093892E-2
3.200795583E0,7.138101384E-3,1.945268065E-1,1.940160617E-2
3.210725583E0,2.398525923E-2,9.430540353E-2,-3.605441656E-3
3.220654583E0,2.209956944E-2,-4.281746596E-2,-7.304663304E-3
3.230584583E0,2.133950219E-2,-2.041075528E-1,-1.769338921E-2
3.240514583E0,1.955015957E-2,-3.253443241E-1,-2.296843380E-2
3.250443583E0,1.578338444E-2,-3.982366323E-1,-2.239052951E-2
3.260373583E0,1.428743079E-2,-4.360715151E-1,-2.011764422E-2
3.270302583E0,1.609624922E-2,-4.450839162E-1,-1.585498825E-2
3.280232583E0,1.555691846E-2,-4.220048785E-1,-9.115993977E-3
3.290162583E0,3.768169321E-3,-3.677866459E-1,1.405377313E-2
3.300091583E0,-2.252599690E-3,-3.011428416E-1,3.735810518E-2
3.310021583E0,-5.086469464E-3,-2.353451848E-1,5.023262277E-2
3.319950583E0,-1.745519042E-2,-2.050848901E-1,3.812129796E-2
3.329880583E0,-8.591688238E-4,-1.495880783E-1,2.692084387E-2
3.339810583E0,-1.710633980E-3,-1.324577183E-1,3.703655675E-2
3.349739583E0,1.380497124E-3,-1.273404658E-1,3.311159089E-2
3.359669583E0,3.004343249E-3,-1.279732138E-1,1.778080687E-2
3.369599583E0,3.694368526E-3,-1.277329922E-1,6.808583625E-3
3.379528583E0,-3.887368366E-4,-1.200634539E-1,4.832289647E-3
3.389458583E0,-4.213568754E-3,-7.695139945E-2,-8.425725624E-3
3.399387583E0,1.742844936E-3,-7.731222361E-2,-7.623778656E-4
3.409317583E0,-6.388202310E-4,-3.376581147E-2,3.084558295E-3
3.419247583E0,2.624277491E-3,-7.709623314E-4,3.896275768E-3
3.429176583E0,-1.183510525E-3,2.758611180E-2,2.257899148E-3
3.439106583E0,-1.045153476E-4,5.745716393E-2,6.371978670E-3
3.449035583E0,8.955015801E-4,8.406160772E-2,5.852396134E-3
3.458965583E0,2.303601243E-3,1.018201858E-1,4.377717618E-3
3.468895583E0,1.087601762E-3,1.189858541E-1,5.429133773E-3
3.478824583E0,2.967389300E-4,1.229409873E-1,4.532439634E-3
3.488754583E0,8.458825760E-4,1.268614233E-1,6.476014853E-3
3.498683583E0,1.326679718E-3,1.189836040E-1,4.002729431E-3
3.508613583E0,-5.425931886E-4,1.087544039E-1,3.463173285E-3
3.518543583E0,-5.165259354E-4,9.111794084E-2,4.689232446E-3
3.528472583E0,1.270987559E-3,6.754257530E-2,3.785355482E-3
3.538402583E0,5.250992253E-4,4.564807937E-2,1.554011134E-3
3.548331583E0,8.867564611E-4,1.789394952E-2,1.799288439E-3
3.558261583E0,9.763347916E-4,-6.430224981E-3,8.490653709E-4
3.568191583E0,9.339903481E-4,-3.291030228E-2,-9.209569544E-5
3.578120583E0,7.469933480E-4,-5.748639628E-2,-2.377275378E-4
3.588050583E0,-1.008295920E-3,-7.737860829E-2,-1.238543540E-3
3.597979583E0,-1.943034818E-3,-9.287373722E-2,7.863135543E-4
3.607909583E0,1.197897363E-3,-1.011833325E-1,-4.331478849E-4
3.617839583E0,-1.505827298E-3,-1.045150533E-1,-5.080746487E-4
3.627768583E0,-2.278943080E-3,-9.902521223E-2,-1.320072450E-3
3.637698583E0,7.741046138E-4,-9.664914012E-2,-1.942452975E-3
3.647627583E0,8.502714336E-4,-8.286807686E-2,-1.568811480E-3
3.657557583E0,-1.956135500E-3,-6.798215955E-2,-2.417420503E-3
3.667487583E0,-1.038942952E-3,-5.053792149E-2,-2.330956049E-4
3.677416583E0,-6.592716090E-4,-3.207110241E-2,5.445547868E-4
3.687346583E0,-1.043831930E-3,-1.765248179E-2,1.054550288E-3
3.697275583E0,1.749247313E-4,1.093873521E-3,1.673600636E-4
3.707205583E0,-7.012551650E-4,1.441207528E-2,4.013231024E-3
3.717135583E0,1.681338064E-3,2.754544839E-2,1.502805855E-3
3.727064583E0,1.693322323E-3,3.939837962E-2,1.337689813E-3
3.736994583E0,-2.681678394E-3,4.296428338E-2,1.139154891E-3
3.746923583E0,5.495291203E-3,4.880779237E-2,2.432652283E-3
3.756853583E0,-4.568952136E-3,4.742538556E-2,1.961964183E-3
3.766783583E0,2.948085777E-3,4.321466014E-2,1.353964442E-3
3.776712583E0,3.466421273E-3,3.724635765E-2,-6.640856154E-4
