"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.437553333E-1,-7.634124756E-2,-2.733316040E-1,9.857601013E0
8.536853333E-1,-2.143542480E-1,-2.522254944E-1,9.791737976E0
8.636143333E-1,-3.564088440E-1,-2.133064270E-1,9.853858795E0
8.735443333E-1,-4.879852295E-1,-2.309696960E-1,9.874815216E0
8.834743333E-1,-5.037025452E-1,-2.838098145E-1,9.823771362E0
8.934033333E-1,-4.490661621E-1,-2.405497742E-1,9.810149689E0
9.033333333E-1,-3.767665100E-1,-2.514770508E-1,9.814041595E0
9.132623333E-1,-3.023712158E-1,-2.519261169E-1,9.818083191E0
9.231923333E-1,-2.544708252E-1,-2.640509033E-1,9.849517822E0
9.331223333E-1,-2.213896179E-1,-2.767744446E-1,9.792486420E0
9.430513333E-1,-2.754272461E-1,-2.568658447E-1,9.728419647E0
9.529813333E-1,-1.032852173E-1,-2.990780640E-1,9.804611206E0
9.629103334E-1,-8.262817383E-2,-2.865042114E-1,9.549691315E0
9.728403334E-1,-6.182144165E-2,-2.823129272E-1,9.933493195E0
9.827703334E-1,-1.407073975E-1,-2.622546387E-1,1.004306534E1
9.926993334E-1,-2.591111755E-1,-2.592608643E-1,9.851463776E0
1.002629750E0,-3.944297791E-1,-2.565664673E-1,9.856253815E0
1.012559750E0,-5.272036743E-1,-2.600093079E-1,9.856253815E0
1.022488750E0,-5.548960876E-1,-2.700384521E-1,9.833351440E0
1.032418750E0,-5.760021973E-1,-2.742297363E-1,9.865235138E0
1.042347750E0,-4.948709106E-1,-2.942880249E-1,9.874964905E0
1.052277750E0,-3.785627747E-1,-2.963836670E-1,9.837692413E0
1.062207750E0,-3.167413330E-1,-2.811154175E-1,9.899962921E0
1.072136750E0,-2.857557678E-1,-2.791694641E-1,9.867480469E0
1.082066750E0,-2.936892700E-1,-2.776725769E-1,9.777367859E0
1.091995750E0,-3.556604004E-1,-2.755769348E-1,9.866282959E0
1.101925750E0,-4.321513367E-1,-2.827619934E-1,9.875114594E0
1.111855750E0,-5.060975647E-1,-2.793191528E-1,9.808802490E0
1.121784750E0,-6.364764404E-1,-2.776725769E-1,9.900561676E0
1.131714750E0,-6.406677246E-1,-2.820135498E-1,9.781858521E0
1.141643750E0,-6.444099426E-1,-2.796185303E-1,9.794282684E0
1.151573750E0,-5.941145325E-1,-2.878514099E-1,9.929301910E0
1.161503750E0,-5.135820007E-1,-2.905458069E-1,9.836345215E0
1.171432750E0,-4.287084961E-1,-2.899470520E-1,9.821076965E0
1.181362750E0,-3.348536682E-1,-2.838098145E-1,9.889784088E0
1.191292750E0,-2.601589966E-1,-2.815644836E-1,9.869127045E0
1.201221750E0,-2.260299683E-1,-2.938389587E-1,9.861792297E0
1.211151750E0,-1.923500061E-1,-3.270698547E-1,9.907297668E0
1.221080750E0,-1.868115234E-1,-3.397933960E-1,9.988578644E0
1.231010750E0,-1.770817566E-1,-2.716850281E-1,9.783654785E0
1.240940750E0,-2.351609802E-1,-2.360591125E-1,9.627379761E0
1.250869750E0,-3.379971313E-1,-2.878514099E-1,9.895771637E0
1.260799750E0,-4.272116089E-1,-3.056643677E-1,9.929451599E0
1.270728750E0,-4.348457336E-1,-2.820135498E-1,9.753118286E0
1.280658750E0,-4.661306763E-1,-2.688409424E-1,9.774673462E0
1.290588750E0,-3.670367432E-1,-3.007246399E-1,9.891430664E0
1.300517750E0,-3.209326172E-1,-2.823129272E-1,9.862690430E0
1.310447750E0,-2.050735474E-1,-2.636018372E-1,9.754615173E0
1.320376750E0,-1.652563477E-1,-2.631527710E-1,9.741292877E0
1.330306750E0,-1.083746338E-1,-2.902464294E-1,9.837542725E0
1.340236750E0,-6.601272583E-2,-2.942880249E-1,9.837093658E0
1.350165750E0,-5.358856201E-2,-2.772235107E-1,9.810149689E0
1.360095750E0,1.002914429E-1,-2.990780640E-1,9.705367584E0
1.370025750E0,1.155596924E-1,-2.947370911E-1,9.724378052E0
1.379954750E0,9.744735718E-2,-2.691403198E-1,9.645342407E0
1.389884750E0,1.514849854E-1,-2.942880249E-1,9.759405212E0
1.399813750E0,3.712280273E-2,-2.900967407E-1,9.915979614E0
1.409743750E0,-5.358856201E-2,-2.899470520E-1,9.827363892E0
1.419673750E0,-1.642085266E-1,-2.841091919E-1,9.730066223E0
1.429602750E0,-2.845582581E-1,-2.883004761E-1,9.840686188E0
1.439532750E0,-4.014651489E-1,-2.863545227E-1,9.897717590E0
1.449461750E0,-4.923262024E-1,-2.891986084E-1,9.859846344E0
1.459391750E0,-5.749543762E-1,-2.800675964E-1,9.829309845E0
1.469321750E0,-7.964936829E-1,-2.386038208E-1,9.807305603E0
1.479250750E0,-7.976911926E-1,-3.020718384E-1,9.844877472E0
1.489180750E0,-7.083270264E-1,-2.962339783E-1,9.873168640E0
1.499109750E0,-7.936495972E-1,-2.818638611E-1,9.911189575E0
1.509039750E0,-6.623725891E-1,-2.962339783E-1,9.840237122E0
1.518969750E0,-5.891748047E-1,-2.793191528E-1,9.866881714E0
1.528898750E0,-4.846920776E-1,-2.718347168E-1,9.808503113E0
1.538828750E0,-3.776646423E-1,-2.969824219E-1,9.832303619E0
1.548758750E0,-3.017724609E-1,-2.850073242E-1,9.840686188E0
1.558687750E0,-2.318678284E-1,-2.957849121E-1,9.883048096E0
1.568617750E0,-1.773811340E-1,-2.911445618E-1,9.802964630E0
1.578546750E0,-1.202000427E-1,-2.884501648E-1,9.799521790E0
1.588476750E0,-7.903564453E-2,-2.894979858E-1,9.798923035E0
1.598406750E0,-3.891906738E-2,-2.875520325E-1,9.809401245E0
1.608335750E0,-1.945953369E-2,-2.862048340E-1,9.793234863E0
1.618265750E0,-2.903961182E-2,-2.841091919E-1,9.784403229E0
1.628194750E0,-2.859054565E-2,-2.906954956E-1,9.810299377E0
1.638124750E0,-6.376739502E-2,-2.881507874E-1,9.816137238E0
1.648054750E0,-1.106199646E-1,-2.888992310E-1,9.802216187E0
1.657983750E0,-1.612147522E-1,-2.865042114E-1,9.808203735E0
1.667913750E0,-2.076182556E-1,-2.911445618E-1,9.821526031E0
1.677842750E0,-2.689906311E-1,-2.815644836E-1,9.822274475E0
1.687772750E0,-3.382965088E-1,-2.893482971E-1,9.839937744E0
1.697702750E0,-4.056564331E-1,-2.921923828E-1,9.836345215E0
1.707631750E0,-4.558021545E-1,-2.851570129E-1,9.836195526E0
1.717561750E0,-5.022056580E-1,-2.909948730E-1,9.833052063E0
1.727491750E0,-5.397775269E-1,-2.848576355E-1,9.847721558E0
1.737420750E0,-5.769003296E-1,-2.809657288E-1,9.853559418E0
1.747350750E0,-5.924679565E-1,-2.829116821E-1,9.851164398E0
1.757279750E0,-5.836363220E-1,-2.859054565E-1,9.843979340E0
1.767209750E0,-5.695655823E-1,-2.866539001E-1,9.838740234E0
1.777139750E0,-5.376818848E-1,-2.763253784E-1,9.853559418E0
1.787068750E0,-4.685256958E-1,-2.869532776E-1,9.812395020E0
1.796998750E0,-3.923341370E-1,-2.887495422E-1,9.798024902E0
1.806927750E0,-2.954855347E-1,-2.924917603E-1,9.837842102E0
1.816857750E0,-2.137554932E-1,-2.914439392E-1,9.873917084E0
1.826787750E0,-1.272354126E-1,-2.859054565E-1,9.771230621E0
